// DO NOT EDIT! Generated by mimex - Mindustry Metadata Extractor
name;width;height
beta-cell;36;42
beta-wreck0;54;38
beta-wreck1;54;44
beta-wreck2;50;52
blank;1;1
blast-door;64;64
blast-door-open;64;64
blast-drill;128;128
blast-drill-rim;128;128
blast-drill-rotator;90;90
blast-drill-top;50;50
blast-mixer;64;64
block-1;32;32
block-2;64;64
block-3;96;96
block-4;128;128
block-additive-reconstructor-full;96;96
block-additive-reconstructor-ui;96;96
block-advanced-launch-pad-full;128;128
block-advanced-launch-pad-ui;128;128
block-afflict-full;128;128
block-afflict-ui;128;128
block-air-factory-full;96;96
block-air-factory-ui;96;96
block-arc-full;32;32
block-arc-ui;32;32
block-arkycite-floor-ui;32;32
block-arkyic-boulder-full;46;48
block-arkyic-boulder-ui;46;48
block-arkyic-stone-full;32;32
block-arkyic-stone-ui;32;32
block-arkyic-vent-full;96;96
block-arkyic-vent-ui;96;96
block-arkyic-wall-full;32;32
block-arkyic-wall-ui;32;32
block-armored-conveyor-full;32;32
block-armored-conveyor-ui;32;32
block-armored-duct-full;32;32
block-armored-duct-ui;32;32
block-atmospheric-concentrator-full;96;96
block-atmospheric-concentrator-ui;96;96
block-basalt-boulder-full;46;46
block-basalt-boulder-ui;46;46
block-basalt-full;32;32
block-basalt-ui;32;32
block-basalt-vent-full;96;96
block-basalt-vent-ui;96;96
block-basic-assembler-module-full;160;160
block-basic-assembler-module-ui;128;128
block-battery-full;32;32
block-battery-large-full;96;96
block-battery-large-ui;96;96
block-battery-ui;32;32
block-beam-link-ui;96;96
block-beam-node-ui;32;32
block-beam-tower-ui;96;96
block-beryllic-boulder-full;46;48
block-beryllic-boulder-ui;46;48
block-beryllic-stone-full;32;32
block-beryllic-stone-ui;32;32
block-beryllic-stone-wall-full;32;32
block-beryllic-stone-wall-ui;32;32
block-beryllium-wall-large-ui;64;64
block-beryllium-wall-ui;32;32
block-blast-door-ui;64;64
block-blast-drill-full;128;128
block-blast-drill-ui;128;128
block-blast-mixer-ui;64;64
block-bluemat-full;32;32
block-bluemat-ui;32;32
block-border;32;32
block-boulder-full;46;46
block-boulder-ui;46;46
block-breach-full;96;96
block-breach-ui;96;96
block-bridge-conduit-ui;32;32
block-bridge-conveyor-ui;32;32
block-build-tower-full;96;96
block-build-tower-ui;96;96
block-canvas-ui;64;64
block-carbide-crucible-full;96;96
block-carbide-crucible-ui;96;96
block-carbide-wall-large-ui;64;64
block-carbide-wall-ui;32;32
block-carbon-boulder-full;46;48
block-carbon-boulder-ui;46;48
block-carbon-stone-full;32;32
block-carbon-stone-ui;32;32
block-carbon-vent-full;94;96
block-carbon-vent-ui;94;96
block-carbon-wall-full;32;32
block-carbon-wall-ui;32;32
block-char-full;32;32
block-char-ui;32;32
block-character-overlay-ui;28;28
block-character-overlay-white-ui;28;28
block-chemical-combustion-chamber-full;96;96
block-chemical-combustion-chamber-ui;96;96
block-cliff-crusher-full;64;64
block-cliff-crusher-ui;64;64
block-cliff-ui;32;32
block-coal-centrifuge-ui;64;64
block-colored-floor-ui;32;32
block-combustion-generator-ui;32;32
block-conduit-full;32;32
block-conduit-ui;32;32
block-constructor-full;96;96
block-constructor-ui;96;96
block-container-full;64;64
block-container-ui;64;64
block-conveyor-full;32;32
block-conveyor-ui;32;32
block-copper-wall-large-ui;64;64
block-copper-wall-ui;32;32
block-core-acropolis-full;192;192
block-core-acropolis-ui;128;128
block-core-bastion-full;128;128
block-core-bastion-ui;128;128
block-core-citadel-full;160;160
block-core-citadel-ui;128;128
block-core-foundation-full;128;128
block-core-foundation-ui;128;128
block-core-nucleus-full;160;160
block-core-nucleus-ui;128;128
block-core-shard-full;96;96
block-core-shard-ui;96;96
block-core-zone-ui;32;32
block-crater-stone-full;32;32
block-crater-stone-ui;32;32
block-cryofluid-mixer-full;64;64
block-cryofluid-mixer-ui;64;64
block-crystal-blocks-full;122;132
block-crystal-blocks-ui;124;128
block-crystal-cluster-full;206;196
block-crystal-cluster-ui;128;122
block-crystal-floor-full;32;32
block-crystal-floor-ui;32;32
block-crystal-orbs-full;111;121
block-crystal-orbs-ui;111;111
block-crystalline-boulder-full;46;48
block-crystalline-boulder-ui;46;48
block-crystalline-stone-full;32;32
block-crystalline-stone-ui;32;32
block-crystalline-stone-wall-full;32;32
block-crystalline-stone-wall-ui;32;32
block-crystalline-vent-full;96;96
block-crystalline-vent-ui;96;96
block-cultivator-full;64;64
block-cultivator-ui;64;64
block-cyanogen-synthesizer-full;96;96
block-cyanogen-synthesizer-ui;96;96
block-cyclone-full;96;96
block-cyclone-ui;96;96
block-dacite-boulder-full;46;46
block-dacite-boulder-ui;46;46
block-dacite-full;32;32
block-dacite-ui;32;32
block-dacite-wall-full;32;32
block-dacite-wall-ui;32;32
block-dark-metal-full;32;32
block-dark-metal-ui;32;32
block-dark-panel-1-ui;32;32
block-dark-panel-2-ui;32;32
block-dark-panel-3-ui;32;32
block-dark-panel-4-ui;32;32
block-dark-panel-5-ui;32;32
block-dark-panel-6-ui;32;32
block-darksand-full;32;32
block-darksand-tainted-water-ui;32;32
block-darksand-ui;32;32
block-darksand-water-ui;32;32
block-deconstructor-full;160;160
block-deconstructor-ui;128;128
block-deep-tainted-water-ui;32;32
block-deep-water-ui;32;32
block-dense-red-stone-full;32;32
block-dense-red-stone-ui;32;32
block-differential-generator-ui;96;96
block-diffuse-full;96;96
block-diffuse-ui;96;96
block-diode-ui;32;32
block-dirt-full;32;32
block-dirt-ui;32;32
block-dirt-wall-full;32;32
block-dirt-wall-ui;32;32
block-disassembler-full;96;96
block-disassembler-ui;96;96
block-disperse-full;128;128
block-disperse-ui;128;128
block-distributor-ui;64;64
block-door-large-ui;64;64
block-door-ui;32;32
block-duct-bridge-full;32;32
block-duct-bridge-ui;32;32
block-duct-full;32;32
block-duct-router-full;32;32
block-duct-router-ui;32;32
block-duct-ui;32;32
block-duct-unloader-full;32;32
block-duct-unloader-ui;32;32
block-dune-wall-full;32;32
block-dune-wall-ui;32;32
block-duo-full;32;32
block-duo-ui;32;32
block-electric-heater-ui;64;64
block-electrolyzer-full;96;96
block-electrolyzer-ui;96;96
block-empty-ui;32;32
block-eruption-drill-full;160;160
block-eruption-drill-ui;128;128
block-exponential-reconstructor-full;224;224
block-exponential-reconstructor-ui;128;128
block-ferric-boulder-full;32;32
block-ferric-boulder-ui;32;32
block-ferric-craters-full;32;32
block-ferric-craters-ui;32;32
block-ferric-stone-full;32;32
block-ferric-stone-ui;32;32
block-ferric-stone-wall-full;32;32
block-ferric-stone-wall-ui;32;32
block-flux-reactor-full;160;160
block-flux-reactor-ui;128;128
block-force-projector-full;96;96
block-force-projector-ui;96;96
block-foreshadow-full;128;128
block-foreshadow-ui;128;128
block-fuse-full;96;96
block-fuse-ui;96;96
block-graphite-press-ui;64;64
block-graphitic-wall-full;32;32
block-graphitic-wall-ui;32;32
block-grass-full;32;32
block-grass-ui;32;32
block-ground-factory-full;96;96
block-ground-factory-ui;96;96
block-hail-full;32;32
block-hail-ui;32;32
block-heat-reactor-ui;96;96
block-heat-redirector-ui;96;96
block-heat-router-ui;96;96
block-heat-source-ui;32;32
block-hotrock-full;32;32
block-hotrock-ui;32;32
block-hyper-processor-ui;96;96
block-ice-full;32;32
block-ice-snow-full;32;32
block-ice-snow-ui;32;32
block-ice-ui;32;32
block-ice-wall-full;32;32
block-ice-wall-ui;32;32
block-illuminator-ui;32;32
block-impact-drill-full;128;128
block-impact-drill-ui;128;128
block-impact-reactor-full;128;128
block-impact-reactor-ui;128;128
block-impulse-pump-ui;96;96
block-incinerator-ui;32;32
block-interplanetary-accelerator-ui;128;128
block-inverted-sorter-full;32;32
block-inverted-sorter-ui;32;32
block-item-source-full;32;32
block-item-source-ui;32;32
block-item-void-ui;32;32
block-junction-ui;32;32
block-kiln-ui;64;64
block-lancer-full;64;64
block-lancer-ui;64;64
block-landing-pad-ui;128;128
block-large-cliff-crusher-full;96;96
block-large-cliff-crusher-ui;96;96
block-large-constructor-full;160;160
block-large-constructor-ui;128;128
block-large-logic-display-ui;128;128
block-large-payload-mass-driver-full;160;160
block-large-payload-mass-driver-ui;128;128
block-large-plasma-bore-full;96;96
block-large-plasma-bore-ui;96;96
block-large-shield-projector-full;128;128
block-large-shield-projector-ui;128;128
block-laser-drill-full;96;96
block-laser-drill-ui;96;96
block-launch-pad-ui;96;96
block-liquid-container-full;64;64
block-liquid-container-ui;64;64
block-liquid-junction-ui;32;32
block-liquid-router-full;32;32
block-liquid-router-ui;32;32
block-liquid-source-full;32;32
block-liquid-source-ui;32;32
block-liquid-tank-full;96;96
block-liquid-tank-ui;96;96
block-liquid-void-ui;32;32
block-logic-display-ui;96;96
block-logic-processor-ui;64;64
block-lustre-full;128;128
block-lustre-ui;128;128
block-magmarock-full;32;32
block-magmarock-ui;32;32
block-malign-full;160;160
block-malign-ui;128;128
block-mass-driver-full;96;96
block-mass-driver-ui;96;96
block-mech-assembler-full;160;160
block-mech-assembler-ui;128;128
block-mech-fabricator-full;96;96
block-mech-fabricator-ui;96;96
block-mech-refabricator-full;96;96
block-mech-refabricator-ui;96;96
block-mechanical-drill-full;64;64
block-mechanical-drill-ui;64;64
block-mechanical-pump-ui;32;32
block-meltdown-full;128;128
block-meltdown-ui;128;128
block-melter-full;32;32
block-melter-ui;32;32
block-memory-bank-ui;64;64
block-memory-cell-ui;32;32
block-mend-projector-ui;64;64
block-mender-ui;32;32
block-message-ui;32;32
block-metal-floor-2-ui;32;32
block-metal-floor-3-ui;32;32
block-metal-floor-4-ui;32;32
block-metal-floor-5-ui;32;32
block-metal-floor-damaged-full;32;32
block-metal-floor-damaged-ui;32;32
block-metal-floor-ui;32;32
block-metal-tiles-1-ui;32;32
block-metal-tiles-11-ui;32;32
block-metal-tiles-12-ui;32;32
block-micro-processor-ui;32;32
block-middle;10;10
block-molten-slag-ui;32;32
block-moss-full;32;32
block-moss-ui;32;32
block-mud-full;32;32
block-mud-ui;32;32
block-multi-press-ui;96;96
block-multiplicative-reconstructor-full;160;160
block-multiplicative-reconstructor-ui;128;128
block-naval-factory-full;96;96
block-naval-factory-ui;96;96
block-neoplasia-reactor-full;160;160
block-neoplasia-reactor-ui;128;128
block-oil-extractor-full;96;96
block-oil-extractor-ui;96;96
block-ore-beryllium-full;32;32
block-ore-beryllium-ui;32;32
block-ore-coal-full;32;32
block-ore-coal-ui;32;32
block-ore-copper-full;32;32
block-ore-copper-ui;32;32
block-ore-crystal-thorium-full;32;32
block-ore-crystal-thorium-ui;32;32
block-ore-lead-full;32;32
block-ore-lead-ui;32;32
block-ore-scrap-full;26;32
block-ore-scrap-ui;26;32
block-ore-thorium-full;32;32
block-ore-thorium-ui;32;32
block-ore-titanium-full;26;32
block-ore-titanium-ui;26;32
block-ore-tungsten-full;28;32
block-ore-tungsten-ui;28;32
block-ore-wall-beryllium-full;26;30
block-ore-wall-beryllium-ui;26;30
block-ore-wall-thorium-full;26;32
block-ore-wall-thorium-ui;26;32
block-ore-wall-tungsten-full;28;32
block-ore-wall-tungsten-ui;28;32
block-overdrive-dome-ui;96;96
block-overdrive-projector-ui;64;64
block-overflow-duct-full;32;32
block-overflow-duct-ui;32;32
block-overflow-gate-ui;32;32
block-oxidation-chamber-full;96;96
block-oxidation-chamber-ui;96;96
block-parallax-full;64;64
block-parallax-ui;64;64
block-payload-conveyor-full;96;96
block-payload-conveyor-ui;96;96
block-payload-loader-full;96;96
block-payload-loader-ui;96;96
block-payload-mass-driver-full;96;96
block-payload-mass-driver-ui;96;96
block-payload-router-full;96;96
block-payload-router-ui;96;96
block-payload-source-full;160;160
block-payload-source-ui;128;128
block-payload-unloader-full;96;96
block-payload-unloader-ui;96;96
block-payload-void-full;160;160
block-payload-void-ui;128;128
block-pebbles-full;26;26
block-pebbles-ui;26;26
block-phase-conduit-ui;32;32
block-phase-conveyor-ui;32;32
block-phase-heater-ui;64;64
block-phase-synthesizer-full;96;96
block-phase-synthesizer-ui;96;96
block-phase-wall-large-ui;64;64
block-phase-wall-ui;32;32
block-phase-weaver-full;64;64
block-phase-weaver-ui;64;64
block-pine-ui;44;44
block-plasma-bore-full;64;64
block-plasma-bore-ui;64;64
block-plastanium-compressor-ui;64;64
block-plastanium-conveyor-ui;32;32
block-plastanium-wall-large-ui;64;64
block-plastanium-wall-ui;32;32
block-plated-conduit-full;32;32
block-plated-conduit-ui;32;32
block-pneumatic-drill-full;64;64
block-pneumatic-drill-ui;64;64
block-pooled-cryofluid-ui;32;32
block-power-node-large-ui;64;64
block-power-node-ui;32;32
block-power-source-ui;32;32
block-power-void-ui;32;32
block-prime-refabricator-full;160;160
block-prime-refabricator-ui;128;128
block-pulse-conduit-full;32;32
block-pulse-conduit-ui;32;32
block-pulverizer-full;32;32
block-pulverizer-ui;32;32
block-pur-bush-ui;32;22
block-pyratite-mixer-ui;64;64
block-pyrolysis-generator-full;96;96
block-pyrolysis-generator-ui;96;96
block-radar-full;32;32
block-radar-ui;32;32
block-red-diamond-wall-full;54;54
block-red-diamond-wall-ui;54;54
block-red-ice-boulder-full;46;46
block-red-ice-boulder-ui;46;46
block-red-ice-full;32;32
block-red-ice-ui;32;32
block-red-ice-wall-full;32;32
block-red-ice-wall-ui;32;32
block-red-stone-boulder-full;46;46
block-red-stone-boulder-ui;46;46
block-red-stone-full;32;32
block-red-stone-ui;32;32
block-red-stone-vent-full;96;96
block-red-stone-vent-ui;96;96
block-red-stone-wall-full;32;32
block-red-stone-wall-ui;32;32
block-redmat-full;32;32
block-redmat-ui;32;32
block-redweed-full;28;50
block-redweed-ui;28;50
block-regen-projector-full;96;96
block-regen-projector-ui;96;96
block-regolith-full;32;32
block-regolith-ui;32;32
block-regolith-wall-full;32;32
block-regolith-wall-ui;32;32
block-reinforced-bridge-conduit-full;32;32
block-reinforced-bridge-conduit-ui;32;32
block-reinforced-conduit-full;32;32
block-reinforced-conduit-ui;32;32
block-reinforced-container-full;64;64
block-reinforced-container-ui;64;64
block-reinforced-liquid-container-full;64;64
block-reinforced-liquid-container-ui;64;64
block-reinforced-liquid-junction-ui;32;32
block-reinforced-liquid-router-full;32;32
block-reinforced-liquid-router-ui;32;32
block-reinforced-liquid-tank-full;96;96
block-reinforced-liquid-tank-ui;96;96
block-reinforced-message-ui;32;32
block-reinforced-payload-conveyor-full;96;96
block-reinforced-payload-conveyor-ui;96;96
block-reinforced-payload-router-full;96;96
block-reinforced-payload-router-ui;96;96
block-reinforced-pump-ui;64;64
block-reinforced-surge-wall-large-ui;64;64
block-reinforced-surge-wall-ui;32;32
block-reinforced-vault-full;96;96
block-reinforced-vault-ui;96;96
block-remove-ore-ui;30;30
block-remove-wall-ui;28;28
block-repair-point-full;32;32
block-repair-point-ui;32;32
block-repair-turret-full;64;64
block-repair-turret-ui;64;64
block-rhyolite-boulder-full;38;42
block-rhyolite-boulder-ui;38;42
block-rhyolite-crater-full;32;32
block-rhyolite-crater-ui;32;32
block-rhyolite-full;32;32
block-rhyolite-ui;32;32
block-rhyolite-vent-full;96;96
block-rhyolite-vent-ui;96;96
block-rhyolite-wall-full;32;32
block-rhyolite-wall-ui;32;32
block-ripple-full;96;96
block-ripple-ui;96;96
block-rotary-pump-ui;64;64
block-rough-rhyolite-full;32;32
block-rough-rhyolite-ui;32;32
block-router-ui;32;32
block-rtg-generator-ui;64;64
block-rune-overlay-crux-ui;32;32
block-rune-overlay-ui;28;28
block-salt-ui;32;32
block-salt-wall-full;32;32
block-salt-wall-ui;32;32
block-salvo-full;64;64
block-salvo-ui;64;64
block-sand-boulder-full;32;32
block-sand-boulder-ui;32;32
block-sand-floor-full;32;32
block-sand-floor-ui;32;32
block-sand-wall-full;32;32
block-sand-wall-ui;32;32
block-sand-water-ui;32;32
block-scathe-full;128;128
block-scathe-ui;128;128
block-scatter-full;64;64
block-scatter-ui;64;64
block-scorch-full;32;32
block-scorch-ui;32;32
block-scrap-wall-full;32;32
block-scrap-wall-gigantic-ui;128;128
block-scrap-wall-huge-full;96;96
block-scrap-wall-huge-ui;96;96
block-scrap-wall-large-full;64;64
block-scrap-wall-large-ui;64;64
block-scrap-wall-ui;32;32
block-segment-full;64;64
block-segment-ui;64;64
block-select;32;32
block-separator-full;64;64
block-separator-ui;64;64
block-shale-boulder-full;32;32
block-shale-boulder-ui;32;32
block-shale-full;32;32
block-shale-ui;32;32
block-shale-wall-full;32;32
block-shale-wall-ui;32;32
block-shallow-water-ui;32;32
block-shield-projector-full;96;96
block-shield-projector-ui;96;96
block-shielded-wall-ui;64;64
block-ship-assembler-full;160;160
block-ship-assembler-ui;128;128
block-ship-fabricator-full;96;96
block-ship-fabricator-ui;96;96
block-ship-refabricator-full;96;96
block-ship-refabricator-ui;96;96
block-shock-mine-ui;26;26
block-shockwave-tower-ui;96;96
block-shrubs-full;32;32
block-shrubs-ui;32;32
block-silicon-arc-furnace-full;96;96
block-silicon-arc-furnace-ui;96;96
block-silicon-crucible-ui;96;96
block-silicon-smelter-ui;64;64
block-slag-centrifuge-full;96;96
block-slag-centrifuge-ui;96;96
block-slag-heater-full;96;96
block-slag-heater-ui;96;96
block-slag-incinerator-full;32;32
block-slag-incinerator-ui;32;32
block-small-deconstructor-full;96;96
block-small-deconstructor-ui;96;96
block-small-heat-redirector-ui;64;64
block-smite-full;160;160
block-smite-ui;128;128
block-snow-boulder-full;46;46
block-snow-boulder-ui;46;46
block-snow-full;32;32
block-snow-pine-ui;44;44
block-snow-ui;32;32
block-snow-wall-full;32;32
block-snow-wall-ui;32;32
block-solar-panel-large-ui;96;96
block-solar-panel-ui;32;32
block-sorter-full;32;32
block-sorter-ui;32;32
block-space-ui;32;32
block-spawn-ui;26;32
block-spectre-full;128;128
block-spectre-ui;128;128
block-spore-cluster-full;26;26
block-spore-cluster-ui;26;26
block-spore-moss-full;32;32
block-spore-moss-ui;32;32
block-spore-pine-ui;44;44
block-spore-press-full;64;64
block-spore-press-ui;64;64
block-spore-wall-full;32;32
block-spore-wall-ui;32;32
block-steam-generator-full;64;64
block-steam-generator-ui;64;64
block-stone-full;32;32
block-stone-ui;32;32
block-stone-vent-full;96;96
block-stone-vent-ui;96;96
block-stone-wall-full;32;32
block-stone-wall-ui;32;32
block-sublimate-full;96;96
block-sublimate-ui;96;96
block-surge-conveyor-ui;32;32
block-surge-crucible-full;96;96
block-surge-crucible-ui;96;96
block-surge-router-full;32;32
block-surge-router-ui;32;32
block-surge-smelter-ui;96;96
block-surge-tower-ui;64;64
block-surge-wall-large-ui;64;64
block-surge-wall-ui;32;32
block-swarmer-full;64;64
block-swarmer-ui;64;64
block-switch-ui;32;32
block-tainted-water-ui;32;32
block-tank-assembler-full;160;160
block-tank-assembler-ui;128;128
block-tank-fabricator-full;96;96
block-tank-fabricator-ui;96;96
block-tank-refabricator-full;96;96
block-tank-refabricator-ui;96;96
block-tar-ui;32;32
block-tendrils-full;32;30
block-tendrils-ui;32;30
block-tetrative-reconstructor-full;288;288
block-tetrative-reconstructor-ui;128;128
block-thermal-generator-ui;64;64
block-thorium-reactor-ui;96;96
block-thorium-wall-large-ui;64;64
block-thorium-wall-ui;32;32
block-thruster-full;128;128
block-thruster-ui;128;128
block-tile-logic-display-ui;32;32
block-titan-full;128;128
block-titan-ui;128;128
block-titanium-conveyor-full;32;32
block-titanium-conveyor-ui;32;32
block-titanium-wall-large-ui;64;64
block-titanium-wall-ui;32;32
block-tsunami-full;96;96
block-tsunami-ui;96;96
block-tungsten-wall-large-ui;64;64
block-tungsten-wall-ui;32;32
block-turbine-condenser-full;96;96
block-turbine-condenser-ui;96;96
block-underflow-duct-full;32;32
block-underflow-duct-ui;32;32
block-underflow-gate-ui;32;32
block-unit-cargo-loader-ui;96;96
block-unit-cargo-unload-point-ui;64;64
block-unit-repair-tower-ui;64;64
block-unloader-ui;32;32
block-vault-full;96;96
block-vault-ui;96;96
block-vent-condenser-full;96;96
block-vent-condenser-ui;96;96
block-vibrant-crystal-cluster-full;119;130
block-vibrant-crystal-cluster-ui;116;122
block-water-extractor-full;64;64
block-water-extractor-ui;64;64
block-wave-full;64;64
block-wave-ui;64;64
block-white-tree-dead-ui;124;118
block-white-tree-ui;126;120
block-world-cell-ui;32;32
block-world-message-ui;32;32
block-world-processor-ui;32;32
block-world-switch-ui;32;32
block-yellow-stone-boulder-full;46;48
block-yellow-stone-boulder-ui;46;48
block-yellow-stone-full;32;32
block-yellow-stone-plates-full;32;32
block-yellow-stone-plates-ui;32;32
block-yellow-stone-ui;32;32
block-yellow-stone-vent-full;94;96
block-yellow-stone-vent-ui;94;96
block-yellow-stone-wall-full;32;32
block-yellow-stone-wall-ui;32;32
block-yellowcoral-ui;53;51
bluemat-edge;96;96
bluemat1;32;32
bluemat2;32;32
bluemat3;32;32
boulder1;46;46
boulder2;46;46
breach;94;98
breach-heat;30;86
bridge-arrow;10;18
bridge-conduit;32;32
bridge-conduit-arrow;10;18
bridge-conduit-bridge;32;26
bridge-conduit-end;26;32
bridge-conveyor;32;32
bridge-conveyor-arrow;10;18
bridge-conveyor-bridge;32;26
bridge-conveyor-end;26;32
bryde;106;138
bryde-cell;60;96
bryde-wreck0;96;130
bryde-wreck1;106;138
bryde-wreck2;106;114
bubble-0;14;14
bubble-1;14;12
bubble-10;30;30
bubble-11;32;32
bubble-12;34;34
bubble-13;36;36
bubble-14;38;38
bubble-15;40;40
bubble-2;14;14
bubble-3;16;16
bubble-4;18;18
bubble-5;20;20
bubble-6;22;22
bubble-7;24;24
bubble-8;26;26
bubble-9;28;28
build-tower;94;96
build-tower-base;96;96
build-tower-glow;40;72
build-weapon;23;44
bullet;52;52
bullet-back;52;52
button;36;27
button-disabled;36;27
button-down;36;27
button-edge-1;36;27
button-edge-2;36;27
button-edge-3;36;27
button-edge-4;36;27
button-edge-down-1;36;27
button-edge-down-3;36;27
button-edge-over-1;36;27
button-edge-over-3;36;27
button-edge-over-4;36;27
button-over;36;27
button-red;36;27
button-right;36;27
button-right-disabled;36;27
button-right-down;36;27
button-right-over;36;27
button-select;24;24
button-select-trans;24;24
button-side-left;36;26
button-side-left-down;36;26
button-side-left-over;36;26
button-side-right;36;26
button-side-right-down;36;26
button-side-right-over;36;26
button-trans;36;27
canvas;64;64
canvas-corner1;64;64
canvas-corner2;64;64
canvas-side1;64;64
canvas-side2;64;64
carbide-crucible;96;96
carbide-crucible-bottom;96;96
carbide-crucible-heat;96;96
carbide-wall;32;32
carbide-wall-large;64;64
carbon-boulder1;46;48
carbon-boulder2;46;48
carbon-stone-edge;96;96
carbon-stone1;32;32
carbon-stone2;32;32
carbon-stone3;32;32
carbon-stone4;32;32
carbon-vent1;96;96
carbon-vent2;96;96
carbon-wall-large;64;64
carbon-wall1;32;32
carbon-wall2;32;32
casing;8;16
cat;64;64
center;18;18
char1;32;32
char2;32;32
char3;32;32
character-overlay;28;28
character-overlay-white;28;28
character-overlay0;28;28
character-overlay1;29;28
character-overlay10;28;28
character-overlay11;28;28
character-overlay12;28;28
character-overlay13;28;28
character-overlay14;28;28
character-overlay15;28;28
