// DO NOT EDIT! Generated by mimex - Mindustry Metadata Extractor
opcode;arguments;argumentTypes;argumentNames;name;typeName;hidden;privileged;nonPrivileged;hint;categoryName;categoryColor;categoryDescription
jump;0 notEqual x false;int ConditionOp var var;destIndex op value compare;Jump;Jump;false;false;false;Conditionally jump to another statement.;control;6bb2b2ff;Manage execution order.
ubind;@poly;var;type;Unit Bind;UnitBind;false;false;false;Bind to the next unit of a type, and store it in [accent]@unit[].;unit;c7b59dff;Give units commands.
ucontrol;move 0 0 0 0 0;LUnitControl var var var var var;type p1 p2 p3 p4 p5;Unit Control;UnitControl;false;false;false;Control the currently bound unit.;unit;c7b59dff;Give units commands.
uradar;enemy any any distance 0 1 result;RadarTarget RadarTarget RadarTarget RadarSort var var var;target1 target2 target3 sort radar sortOrder output;Unit Radar;UnitRadar;false;false;false;Locate units around the currently bound unit.;unit;c7b59dff;Give units commands.
ulocate;building core true @copper outx outy found building;LLocate BlockFlag var var var var var var;locate flag enemy ore outX outY outFound outBuild;Unit Locate;UnitLocate;false;false;false;Locate a specific type of position/building anywhere on the map.%0ARequires a bound unit.;unit;c7b59dff;Give units commands.
getblock;block result 0 0;TileLayer var var var;layer result x y;Get Block;GetBlock;false;true;false;Get tile data at any location.;world;6b84d4ff;Control how the world behaves.
setblock;block @air 0 0 @derelict 0;TileLayer var var var var var;layer block x y team rotation;Set Block;SetBlock;false;true;false;Set tile data at any location.;world;6b84d4ff;Control how the world behaves.
spawn;@dagger 10 10 90 @sharded result;var var var var var var;type x y rotation team result;Spawn Unit;SpawnUnit;false;true;false;Spawn unit at a location.;world;6b84d4ff;Control how the world behaves.
status;false wet unit 10;boolean var var var;clear effect unit duration;Apply Status;ApplyStatus;false;true;false;Apply or clear a status effect from a unit.;world;6b84d4ff;Control how the world behaves.
weathersense;result @rain;var var;to weather;Weather Sense;WeatherSense;false;true;false;Check if a type of weather is active.;world;6b84d4ff;Control how the world behaves.
weatherset;@rain true;var var;weather state;Weather Set;WeatherSet;false;true;false;Set the current state of a type of weather.;world;6b84d4ff;Control how the world behaves.
spawnwave;10 10 false;var var var;x y natural;Spawn Wave;SpawnWave;false;true;false;Spawn a wave.;world;6b84d4ff;Control how the world behaves.
setrule;waveSpacing 10 0 0 100 100;LogicRule var var var var var;rule value p1 p2 p3 p4;Set Rule;SetRule;false;true;false;Set a game rule.;world;6b84d4ff;Control how the world behaves.
message;announce 3 @wait;MessageType var var;type duration outSuccess;Flush Message;FlushMessage;false;true;false;Display a message on the screen from the text buffer.%0AIf the success result variable is [accent]@wait[],%0Awill wait until the previous message finishes.%0AOtherwise, outputs whether displaying the message succeeded.;world;6b84d4ff;Control how the world behaves.
cutscene;pan 100 100 0.06 0;CutsceneAction var var var var;action p1 p2 p3 p4;Cutscene;Cutscene;false;true;false;Manipulate the player camera.;world;6b84d4ff;Control how the world behaves.
effect;warn 0 0 2 %ffaaff ;var var var var var var;type x y sizerot color data;Effect;Effect;false;true;false;Create a particle effect.;world;6b84d4ff;Control how the world behaves.
explosion;@crux 0 0 5 50 true true false true;var var var var var var var var var;team x y radius damage air ground pierce effect;Explosion;Explosion;false;true;false;Create an explosion at a location.;world;6b84d4ff;Control how the world behaves.
setrate;10;var;amount;Set Rate;SetRate;false;true;false;Set processor execution speed in instructions/tick.;world;6b84d4ff;Control how the world behaves.
fetch;unit result @sharded 0 @conveyor;FetchType var var var var;type result team index extra;Fetch;Fetch;false;true;false;Lookup units, cores, players or buildings by index.%0AIndices start at 0 and end at their returned count.;world;6b84d4ff;Control how the world behaves.
sync;var;var;variable;Sync;Sync;false;true;false;Sync a variable across the network.%0ALimited to 20 times a second per variable.;world;6b84d4ff;Control how the world behaves.
clientdata;"frog" "bar" 0;var var var;channel value reliable;Client Data;ClientData;true;true;false;;world;6b84d4ff;Control how the world behaves.
getflag;result "flag";var var;result flag;Get Flag;GetFlag;false;true;false;Check if a global flag is set.;world;6b84d4ff;Control how the world behaves.
setflag;"flag" true;var var;flag value;Set Flag;SetFlag;false;true;false;Set a global flag that can be read by all processors.;world;6b84d4ff;Control how the world behaves.
setprop;@copper block1 0;var var var;type of value;Set Prop;SetProp;false;true;false;Sets a property of a unit or building.;world;6b84d4ff;Control how the world behaves.
playsound;false @sfx-pew 1 1 0 @thisx @thisy true;boolean var var var var var var var;positional id volume pitch pan x y limit;Play Sound;PlaySound;false;true;false;Plays a sound.%0AVolume and pan can be a global value, or calculated based on position.;world;6b84d4ff;Control how the world behaves.
setmarker;pos 0 0 0 0;LMarkerControl var var var var;type id p1 p2 p3;Set Marker;SetMarker;false;true;false;Set a property for a marker.%0AThe ID used must be the same as in the Make Marker instruction.%0A[accent]null []values are ignored.;world;6b84d4ff;Control how the world behaves.
makemarker;shape 0 0 0 true;var var var var var;type id x y replace;Make Marker;MakeMarker;false;true;false;Create a new logic marker in the world.%0AAn ID to identify this marker must be provided.%0AMarkers currently limited to 20,000 per world.;world;6b84d4ff;Control how the world behaves.
localeprint;"name";var;value;Locale Print;LocalePrint;false;true;false;Add map locale property value to the text buffer.%0ATo set map locale bundles in map editor, check [accent]Map Info > Locale Bundles[].%0AIf client is a mobile device, tries to print a property ending in ".mobile" first.;world;6b84d4ff;Control how the world behaves.
