// DO NOT EDIT! Generated by mimex - Mindustry Metadata Extractor
opcode;arguments;argumentTypes;argumentNames;name;typeName;hidden;privileged;nonPrivileged;hint;categoryName;categoryColor;categoryDescription
ulocate;building core true @copper outx outy found building;LLocate BlockFlag var var var var var var;locate flag enemy ore outX outY outFound outBuild;Unit Locate;UnitLocate;false;false;false;Locate a specific type of position/building anywhere on the map.%0ARequires a bound unit.;unit;c7b59dff;Give units commands.
getblock;block result 0 0;TileLayer var var var;layer result x y;Get Block;GetBlock;false;true;false;Get tile data at any location.;world;6b84d4ff;Control how the world behaves.
setblock;block @air 0 0 @derelict 0;TileLayer var var var var var;layer block x y team rotation;Set Block;SetBlock;false;true;false;Set tile data at any location.;world;6b84d4ff;Control how the world behaves.
spawn;@dagger 10 10 90 @sharded result;var var var var var var;type x y rotation team result;Spawn Unit;SpawnUnit;false;true;false;Spawn unit at a location.;world;6b84d4ff;Control how the world behaves.
status;false wet unit 10;boolean var var var;clear effect unit duration;Apply Status;ApplyStatus;false;true;false;Apply or clear a status effect from a unit.;world;6b84d4ff;Control how the world behaves.
spawnwave;10 10 false;var var var;x y natural;Spawn Wave;SpawnWave;false;true;false;Spawn a wave.;world;6b84d4ff;Control how the world behaves.
setrule;waveSpacing 10 0 0 100 100;LogicRule var var var var var;rule value p1 p2 p3 p4;Set Rule;SetRule;false;true;false;Set a game rule.;world;6b84d4ff;Control how the world behaves.
message;announce 3;MessageType var;type duration;Flush Message;FlushMessage;false;true;false;Display a message on the screen from the text buffer.%0AWill wait until the previous message finishes.;world;6b84d4ff;Control how the world behaves.
cutscene;pan 100 100 0.06 0;CutsceneAction var var var var;action p1 p2 p3 p4;Cutscene;Cutscene;false;true;false;Manipulate the player camera.;world;6b84d4ff;Control how the world behaves.
effect;warn 0 0 2 %ffaaff ;var var var var var var;type x y sizerot color data;Effect;Effect;false;true;false;Create a particle effect.;world;6b84d4ff;Control how the world behaves.
explosion;@crux 0 0 5 50 true true false;var var var var var var var var;team x y radius damage air ground pierce;Explosion;Explosion;false;true;false;Create an explosion at a location.;world;6b84d4ff;Control how the world behaves.
setrate;10;var;amount;Set Rate;SetRate;false;true;false;Set processor execution speed in instructions/tick.;world;6b84d4ff;Control how the world behaves.
fetch;unit result @sharded 0 @conveyor;FetchType var var var var;type result team index extra;Fetch;Fetch;false;true;false;Lookup units, cores, players or buildings by index.%0AIndices start at 0 and end at their returned count.;world;6b84d4ff;Control how the world behaves.
sync;var;var;variable;Sync;Sync;false;true;false;Sync a variable across the network.%0ALimited to 20 times a second per variable.;world;6b84d4ff;Control how the world behaves.
getflag;result "flag";var var;result flag;Get Flag;GetFlag;false;true;false;Check if a global flag is set.;world;6b84d4ff;Control how the world behaves.
setflag;"flag" true;var var;flag value;Set Flag;SetFlag;false;true;false;Set a global flag that can be read by all processors.;world;6b84d4ff;Control how the world behaves.
setprop;@copper block1 0;var var var;type of value;Set Prop;SetProp;false;true;false;Sets a property of a unit or building.;world;6b84d4ff;Control how the world behaves.
