// DO NOT EDIT! Generated by mimex - Mindustry Metadata Extractor
name;id;logicId;copper;lead;metaglass;graphite;sand;coal;titanium;thorium;scrap;silicon;plastanium;phase-fabric;surge-alloy;spore-pod;blast-compound;pyratite;beryllium;tungsten;oxide;carbide;fissile-matter;dormant-cyst
molten-slag;28;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
space;29;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
empty;30;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
stone;31;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
crater-stone;32;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
char;33;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
basalt;34;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
hotrock;35;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
magmarock;36;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
sand-floor;37;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
darksand;38;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
dirt;39;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
mud;40;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
dacite;41;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
rhyolite;42;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
rhyolite-crater;43;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
rough-rhyolite;44;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
regolith;45;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
yellow-stone;46;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
carbon-stone;47;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ferric-stone;48;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ferric-craters;49;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
beryllic-stone;50;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
crystalline-stone;51;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
crystal-floor;52;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
yellow-stone-plates;53;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
red-stone;54;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
dense-red-stone;55;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
red-ice;56;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
arkycite-floor;57;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
arkyic-stone;58;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
rhyolite-vent;59;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
carbon-vent;60;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
arkyic-vent;61;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
yellow-stone-vent;62;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
red-stone-vent;63;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
crystalline-vent;64;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
redmat;65;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
bluemat;66;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
grass;67;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
salt;68;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
snow;69;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ice;70;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ice-snow;71;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
shale;72;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
moss;73;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
core-zone;74;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
spore-moss;75;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
stone-wall;76;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
spore-wall;77;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
dirt-wall;78;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
dacite-wall;79;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ice-wall;80;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
snow-wall;81;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
dune-wall;82;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
regolith-wall;83;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
yellow-stone-wall;84;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
rhyolite-wall;85;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
carbon-wall;86;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ferric-stone-wall;87;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
beryllic-stone-wall;88;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
arkyic-wall;89;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
crystalline-stone-wall;90;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
red-ice-wall;91;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
red-stone-wall;92;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
red-diamond-wall;93;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
sand-wall;94;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
salt-wall;95;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
shrubs;96;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
shale-wall;97;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
spore-pine;98;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
snow-pine;99;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
pine;100;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
white-tree-dead;101;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
white-tree;102;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
spore-cluster;103;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
redweed;104;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
pur-bush;105;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
yellowcoral;106;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
boulder;107;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
snow-boulder;108;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
shale-boulder;109;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
sand-boulder;110;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
dacite-boulder;111;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
basalt-boulder;112;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
carbon-boulder;113;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ferric-boulder;114;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
beryllic-boulder;115;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
yellow-stone-boulder;116;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
arkyic-boulder;117;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
crystal-cluster;118;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
vibrant-crystal-cluster;119;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
crystal-blocks;120;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
crystal-orbs;121;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
crystalline-boulder;122;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
red-ice-boulder;123;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
rhyolite-boulder;124;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
red-stone-boulder;125;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
metal-floor;126;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
metal-floor-damaged;127;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
metal-floor-2;128;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
metal-floor-3;129;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
metal-floor-4;130;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
metal-floor-5;131;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
dark-panel-1;132;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
dark-panel-2;133;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
dark-panel-3;134;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
dark-panel-4;135;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
dark-panel-5;136;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
dark-panel-6;137;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
dark-metal;138;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
pebbles;139;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
tendrils;140;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ore-copper;141;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ore-lead;142;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ore-scrap;143;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ore-coal;144;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ore-titanium;145;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ore-thorium;146;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ore-beryllium;147;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ore-tungsten;148;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ore-crystal-thorium;149;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ore-wall-thorium;150;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ore-wall-beryllium;151;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
graphitic-wall;152;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ore-wall-tungsten;153;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
graphite-press;154;0;75;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
multi-press;155;1;0;100;0;50;0;0;100;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0
silicon-smelter;156;2;30;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
silicon-crucible;157;3;0;0;80;0;0;0;120;0;0;60;35;0;0;0;0;0;0;0;0;0;0;0
kiln;158;4;60;30;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
plastanium-compressor;159;5;0;115;0;60;0;0;80;0;0;80;0;0;0;0;0;0;0;0;0;0;0;0
phase-weaver;160;6;0;120;0;0;0;0;0;75;0;130;0;0;0;0;0;0;0;0;0;0;0;0
surge-smelter;161;180;0;80;0;0;0;0;0;70;0;80;0;0;0;0;0;0;0;0;0;0;0;0
cryofluid-mixer;162;7;0;65;0;0;0;0;60;0;0;40;0;0;0;0;0;0;0;0;0;0;0;0
pyratite-mixer;163;8;50;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
blast-mixer;164;9;0;30;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
melter;165;10;30;35;0;45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
separator;166;11;30;0;0;0;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
disassembler;167;12;0;0;0;0;0;0;100;80;0;150;40;0;0;0;0;0;0;0;0;0;0;0
spore-press;168;13;0;35;0;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0
pulverizer;169;14;30;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
coal-centrifuge;170;15;0;30;0;40;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
incinerator;171;16;0;15;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
silicon-arc-furnace;172;153;0;0;0;80;0;0;0;0;0;0;0;0;0;0;0;0;70;0;0;0;0;0
electrolyzer;173;178;0;0;0;40;0;0;0;0;0;50;0;0;0;0;0;0;130;80;0;0;0;0
atmospheric-concentrator;174;192;0;0;0;0;0;0;0;0;0;150;0;0;0;0;0;0;180;0;60;0;0;0
oxidation-chamber;175;179;0;0;0;80;0;0;0;0;0;100;0;0;0;0;0;0;120;120;0;0;0;0
electric-heater;176;186;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;30;0;0;0
slag-heater;177;238;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;50;20;0;0;0
phase-heater;178;201;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;30;30;0;0
heat-redirector;179;202;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0
heat-router;180;250;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0
slag-incinerator;181;187;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0
carbide-crucible;182;164;0;0;0;0;0;0;0;150;0;0;0;0;0;0;0;0;0;110;60;0;0;0
slag-centrifuge;183;185;0;0;0;60;0;0;0;0;0;40;0;0;0;0;0;0;0;0;40;70;0;0
surge-crucible;184;181;0;0;0;80;0;0;0;0;0;100;0;0;0;0;0;0;0;80;80;0;0;0
cyanogen-synthesizer;185;184;0;0;0;0;0;0;0;0;0;80;0;0;0;0;0;0;90;0;0;50;0;0
phase-synthesizer;186;188;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;200;0;90;0;0
heat-reactor;187;175;0;0;0;20;0;0;0;80;0;0;0;0;0;0;0;0;0;0;70;10;0;0
copper-wall;188;17;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
copper-wall-large;189;18;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
titanium-wall;190;19;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
titanium-wall-large;191;20;0;0;0;0;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
plastanium-wall;192;21;0;0;2;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0
plastanium-wall-large;193;22;0;0;8;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0
thorium-wall;194;23;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0
thorium-wall-large;195;24;0;0;0;0;0;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0
phase-wall;196;25;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0
phase-wall-large;197;26;0;0;0;0;0;0;0;0;0;0;0;24;0;0;0;0;0;0;0;0;0;0
surge-wall;198;27;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0
surge-wall-large;199;28;0;0;0;0;0;0;0;0;0;0;0;0;24;0;0;0;0;0;0;0;0;0
door;200;29;0;0;0;0;0;0;6;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0
door-large;201;30;0;0;0;0;0;0;24;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0
scrap-wall;202;31;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0
scrap-wall-large;203;32;0;0;0;0;0;0;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0
scrap-wall-huge;204;33;0;0;0;0;0;0;0;0;54;0;0;0;0;0;0;0;0;0;0;0;0;0
scrap-wall-gigantic;205;34;0;0;0;0;0;0;0;0;96;0;0;0;0;0;0;0;0;0;0;0;0;0
thruster;206;149;0;0;0;0;0;0;0;0;96;0;0;0;0;0;0;0;0;0;0;0;0;0
beryllium-wall;207;206;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0
beryllium-wall-large;208;207;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;0;0;0;0;0
tungsten-wall;209;203;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0
tungsten-wall-large;210;204;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;0;0;0;0
blast-door;211;227;0;0;0;0;0;0;0;0;0;24;0;0;0;0;0;0;0;24;0;0;0;0
reinforced-surge-wall;212;225;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;2;0;0;0;0
reinforced-surge-wall-large;213;234;0;0;0;0;0;0;0;0;0;0;0;0;24;0;0;0;0;8;0;0;0;0
carbide-wall;214;220;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;6;0;0
carbide-wall-large;215;221;0;0;0;0;0;0;0;24;0;0;0;0;0;0;0;0;0;0;0;24;0;0
shielded-wall;216;240;0;0;0;0;0;0;0;0;0;0;0;20;12;0;0;0;12;0;0;0;0;0
mender;217;35;25;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
mend-projector;218;36;50;100;0;0;0;0;25;0;0;40;0;0;0;0;0;0;0;0;0;0;0;0
overdrive-projector;219;37;0;100;0;0;0;0;75;0;0;75;30;0;0;0;0;0;0;0;0;0;0;0
overdrive-dome;220;38;0;200;0;0;0;0;130;0;0;130;80;0;120;0;0;0;0;0;0;0;0;0
force-projector;221;39;0;100;0;0;0;0;75;0;0;125;0;0;0;0;0;0;0;0;0;0;0;0
shock-mine;222;40;0;25;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0
radar;223;226;0;0;0;50;0;0;0;0;0;60;0;0;0;0;0;0;10;0;0;0;0;0
build-tower;224;162;0;0;0;0;0;0;0;60;0;150;0;0;0;0;0;0;0;0;40;0;0;0
regen-projector;225;197;0;0;0;0;0;0;0;0;0;80;0;0;0;0;0;0;80;60;40;0;0;0
shockwave-tower;226;246;0;0;0;0;0;0;0;0;0;150;0;0;50;0;0;0;0;100;30;0;0;0
shield-projector;227;211;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
large-shield-projector;228;217;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
conveyor;229;41;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
titanium-conveyor;230;42;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
plastanium-conveyor;231;43;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
armored-conveyor;232;44;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
junction;233;45;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
bridge-conveyor;234;46;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
phase-conveyor;235;47;0;10;0;10;0;0;0;0;0;7;0;5;0;0;0;0;0;0;0;0;0;0
sorter;236;48;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
inverted-sorter;237;49;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
router;238;50;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
distributor;239;51;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
overflow-gate;240;52;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
underflow-gate;241;53;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
mass-driver;242;54;0;125;0;0;0;0;125;50;0;75;0;0;0;0;0;0;0;0;0;0;0;0
duct;243;55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
armored-duct;244;229;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0
duct-router;245;56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0
overflow-duct;246;182;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0
