// DO NOT EDIT! Generated by mimex - Mindustry Metadata Extractor
name;id;logicId;visibility;size;subclass;legacy;configurable;category;range;hasItems;acceptsItems;separateItemCapacity;itemCapacity;noSideBlend;unloadable;hasLiquids;outputsLiquid;liquidCapacity;hasPower;consumesPower;outputsPower;connectedPower;conductivePower;maxNodes;outputFacing;rotate;unitPlans;iptDefault;iptLimit;instructionScale
build14;16;-1;hidden;14;ConstructBlock;false;false;distribution;0.0;false;true;;10;;true;false;false;10.0;false;true;false;;;0;true;false;;0;0;0
build15;17;-1;hidden;15;ConstructBlock;false;false;distribution;0.0;false;true;;10;;true;false;false;10.0;false;true;false;;;0;true;false;;0;0;0
build16;18;-1;hidden;16;ConstructBlock;false;false;distribution;0.0;false;true;;10;;true;false;false;10.0;false;true;false;;;0;true;false;;0;0;0
deepwater;19;-1;hidden;1;Floor;false;false;distribution;0.0;false;true;;10;;true;false;false;10.0;false;true;false;;;0;true;false;;0;0;0
water;20;-1;hidden;1;Floor;false;false;distribution;0.0;false;true;;10;;true;false;false;10.0;false;true;false;;;0;true;false;;0;0;0
tainted-water;21;-1;hidden;1;Floor;false;false;distribution;0.0;false;true;;10;;true;false;false;10.0;false;true;false;;;0;true;false;;0;0;0
darksand-tainted-water;22;-1;hidden;1;ShallowLiquid;false;false;distribution;0.0;false;true;;10;;true;false;false;10.0;false;true;false;;;0;true;false;;0;0;0
sand-water;23;-1;hidden;1;ShallowLiquid;false;false;distribution;0.0;false;true;;10;;true;false;false;10.0;false;true;false;;;0;true;false;;0;0;0
darksand-water;24;-1;hidden;1;ShallowLiquid;false;false;distribution;0.0;false;true;;10;;true;false;false;10.0;false;true;false;;;0;true;false;;0;0;0
tar;25;-1;hidden;1;Floor;false;false;distribution;0.0;false;true;;10;;true;false;false;10.0;false;true;false;;;0;true;false;;0;0;0
slag;26;-1;hidden;1;Floor;false;false;distribution;0.0;false;true;;10;;true;false;false;10.0;false;true;false;;;0;true;false;;0;0;0
space;27;-1;hidden;1;Floor;false;false;distribution;0.0;false;true;;10;;true;false;false;10.0;false;true;false;;;0;true;false;;0;0;0
stone;28;-1;hidden;1;Floor;false;false;distribution;0.0;false;true;;10;;true;false;false;10.0;false;true;false;;;0;true;false;;0;0;0
craters;29;-1;hidden;1;Floor;false;false;distribution;0.0;false;true;;10;;true;false;false;10.0;false;true;false;;;0;true;false;;0;0;0
char;30;-1;hidden;1;Floor;false;false;distribution;0.0;false;true;;10;;true;false;false;10.0;false;true;false;;;0;true;false;;0;0;0
basalt;31;-1;hidden;1;Floor;false;false;distribution;0.0;false;true;;10;;true;false;false;10.0;false;true;false;;;0;true;false;;0;0;0
hotrock;32;-1;hidden;1;Floor;false;false;distribution;0.0;false;true;;10;;true;false;false;10.0;false;true;false;;;0;true;false;;0;0;0
magmarock;33;-1;hidden;1;Floor;false;false;distribution;0.0;false;true;;10;;true;false;false;10.0;false;true;false;;;0;true;false;;0;0;0
sand;34;-1;hidden;1;Floor;false;false;distribution;0.0;false;true;;10;;true;false;false;10.0;false;true;false;;;0;true;false;;0;0;0
darksand;35;-1;hidden;1;Floor;false;false;distribution;0.0;false;true;;10;;true;false;false;10.0;false;true;false;;;0;true;false;;0;0;0
dirt;36;-1;hidden;1;Floor;false;false;distribution;0.0;false;true;;10;;true;false;false;10.0;false;true;false;;;0;true;false;;0;0;0
mud;37;-1;hidden;1;Floor;false;false;distribution;0.0;false;true;;10;;true;false;false;10.0;false;true;false;;;0;true;false;;0;0;0
dacite;38;-1;hidden;1;Floor;false;false;distribution;0.0;false;true;;10;;true;false;false;10.0;false;true;false;;;0;true;false;;0;0;0
grass;39;-1;hidden;1;Floor;false;false;distribution;0.0;false;true;;10;;true;false;false;10.0;false;true;false;;;0;true;false;;0;0;0
salt;40;-1;hidden;1;Floor;false;false;distribution;0.0;false;true;;10;;true;false;false;10.0;false;true;false;;;0;true;false;;0;0;0
snow;41;-1;hidden;1;Floor;false;false;distribution;0.0;false;true;;10;;true;false;false;10.0;false;true;false;;;0;true;false;;0;0;0
ice;42;-1;hidden;1;Floor;false;false;distribution;0.0;false;true;;10;;true;false;false;10.0;false;true;false;;;0;true;false;;0;0;0
ice-snow;43;-1;hidden;1;Floor;false;false;distribution;0.0;false;true;;10;;true;false;false;10.0;false;true;false;;;0;true;false;;0;0;0
shale;44;-1;hidden;1;Floor;false;false;distribution;0.0;false;true;;10;;true;false;false;10.0;false;true;false;;;0;true;false;;0;0;0
stone-wall;45;-1;hidden;1;StaticWall;false;false;distribution;0.0;false;true;;10;;true;false;false;10.0;false;true;false;;;0;true;false;;0;0;0
spore-wall;46;-1;hidden;1;StaticWall;false;false;distribution;0.0;false;true;;10;;true;false;false;10.0;false;true;false;;;0;true;false;;0;0;0
dirt-wall;47;-1;hidden;1;StaticWall;false;false;distribution;0.0;false;true;;10;;true;false;false;10.0;false;true;false;;;0;true;false;;0;0;0
dacite-wall;48;-1;hidden;1;StaticWall;false;false;distribution;0.0;false;true;;10;;true;false;false;10.0;false;true;false;;;0;true;false;;0;0;0
ice-wall;49;-1;hidden;1;StaticWall;false;false;distribution;0.0;false;true;;10;;true;false;false;10.0;false;true;false;;;0;true;false;;0;0;0
snow-wall;50;-1;hidden;1;StaticWall;false;false;distribution;0.0;false;true;;10;;true;false;false;10.0;false;true;false;;;0;true;false;;0;0;0
dune-wall;51;-1;hidden;1;StaticWall;false;false;distribution;0.0;false;true;;10;;true;false;false;10.0;false;true;false;;;0;true;false;;0;0;0
sand-wall;52;-1;hidden;1;StaticWall;false;false;distribution;0.0;false;true;;10;;true;false;false;10.0;false;true;false;;;0;true;false;;0;0;0
salt-wall;53;-1;hidden;1;StaticWall;false;false;distribution;0.0;false;true;;10;;true;false;false;10.0;false;true;false;;;0;true;false;;0;0;0
shrubs;54;-1;hidden;1;StaticWall;false;false;distribution;0.0;false;true;;10;;true;false;false;10.0;false;true;false;;;0;true;false;;0;0;0
shale-wall;55;-1;hidden;1;StaticWall;false;false;distribution;0.0;false;true;;10;;true;false;false;10.0;false;true;false;;;0;true;false;;0;0;0
spore-pine;56;-1;hidden;1;StaticTree;false;false;distribution;0.0;false;true;;10;;true;false;false;10.0;false;true;false;;;0;true;false;;0;0;0
snow-pine;57;-1;hidden;1;StaticTree;false;false;distribution;0.0;false;true;;10;;true;false;false;10.0;false;true;false;;;0;true;false;;0;0;0
pine;58;-1;hidden;1;StaticTree;false;false;distribution;0.0;false;true;;10;;true;false;false;10.0;false;true;false;;;0;true;false;;0;0;0
white-tree-dead;59;-1;hidden;1;TreeBlock;false;false;distribution;0.0;false;true;;10;;true;false;false;10.0;false;true;false;;;0;true;false;;0;0;0
white-tree;60;-1;hidden;1;TreeBlock;false;false;distribution;0.0;false;true;;10;;true;false;false;10.0;false;true;false;;;0;true;false;;0;0;0
spore-cluster;61;-1;hidden;1;Boulder;false;false;distribution;0.0;false;true;;10;;true;false;false;10.0;false;true;false;;;0;true;false;;0;0;0
boulder;62;-1;hidden;1;Boulder;false;false;distribution;0.0;false;true;;10;;true;false;false;10.0;false;true;false;;;0;true;false;;0;0;0
snow-boulder;63;-1;hidden;1;Boulder;false;false;distribution;0.0;false;true;;10;;true;false;false;10.0;false;true;false;;;0;true;false;;0;0;0
shale-boulder;64;-1;hidden;1;Boulder;false;false;distribution;0.0;false;true;;10;;true;false;false;10.0;false;true;false;;;0;true;false;;0;0;0
sand-boulder;65;-1;hidden;1;Boulder;false;false;distribution;0.0;false;true;;10;;true;false;false;10.0;false;true;false;;;0;true;false;;0;0;0
dacite-boulder;66;-1;hidden;1;Boulder;false;false;distribution;0.0;false;true;;10;;true;false;false;10.0;false;true;false;;;0;true;false;;0;0;0
basalt-boulder;67;-1;hidden;1;Boulder;false;false;distribution;0.0;false;true;;10;;true;false;false;10.0;false;true;false;;;0;true;false;;0;0;0
moss;68;-1;hidden;1;Floor;false;false;distribution;0.0;false;true;;10;;true;false;false;10.0;false;true;false;;;0;true;false;;0;0;0
spore-moss;69;-1;hidden;1;Floor;false;false;distribution;0.0;false;true;;10;;true;false;false;10.0;false;true;false;;;0;true;false;;0;0;0
metal-floor;70;-1;hidden;1;Floor;false;false;distribution;0.0;false;true;;10;;true;false;false;10.0;false;true;false;;;0;true;false;;0;0;0
metal-floor-damaged;71;-1;hidden;1;Floor;false;false;distribution;0.0;false;true;;10;;true;false;false;10.0;false;true;false;;;0;true;false;;0;0;0
metal-floor-2;72;-1;hidden;1;Floor;false;false;distribution;0.0;false;true;;10;;true;false;false;10.0;false;true;false;;;0;true;false;;0;0;0
metal-floor-3;73;-1;hidden;1;Floor;false;false;distribution;0.0;false;true;;10;;true;false;false;10.0;false;true;false;;;0;true;false;;0;0;0
metal-floor-5;74;-1;hidden;1;Floor;false;false;distribution;0.0;false;true;;10;;true;false;false;10.0;false;true;false;;;0;true;false;;0;0;0
dark-panel-1;75;-1;hidden;1;Floor;false;false;distribution;0.0;false;true;;10;;true;false;false;10.0;false;true;false;;;0;true;false;;0;0;0
dark-panel-2;76;-1;hidden;1;Floor;false;false;distribution;0.0;false;true;;10;;true;false;false;10.0;false;true;false;;;0;true;false;;0;0;0
dark-panel-3;77;-1;hidden;1;Floor;false;false;distribution;0.0;false;true;;10;;true;false;false;10.0;false;true;false;;;0;true;false;;0;0;0
dark-panel-4;78;-1;hidden;1;Floor;false;false;distribution;0.0;false;true;;10;;true;false;false;10.0;false;true;false;;;0;true;false;;0;0;0
dark-panel-5;79;-1;hidden;1;Floor;false;false;distribution;0.0;false;true;;10;;true;false;false;10.0;false;true;false;;;0;true;false;;0;0;0
dark-panel-6;80;-1;hidden;1;Floor;false;false;distribution;0.0;false;true;;10;;true;false;false;10.0;false;true;false;;;0;true;false;;0;0;0
dark-metal;81;-1;hidden;1;StaticWall;false;false;distribution;0.0;false;true;;10;;true;false;false;10.0;false;true;false;;;0;true;false;;0;0;0
pebbles;82;-1;hidden;1;DoubleOverlayFloor;false;false;distribution;0.0;false;true;;10;;true;false;false;10.0;false;true;false;;;0;true;false;;0;0;0
tendrils;83;-1;hidden;1;OverlayFloor;false;false;distribution;0.0;false;true;;10;;true;false;false;10.0;false;true;false;;;0;true;false;;0;0;0
ore-copper;84;-1;hidden;1;OreBlock;false;false;distribution;0.0;false;true;;10;;true;false;false;10.0;false;true;false;;;0;true;false;;0;0;0
ore-lead;85;-1;hidden;1;OreBlock;false;false;distribution;0.0;false;true;;10;;true;false;false;10.0;false;true;false;;;0;true;false;;0;0;0
ore-scrap;86;-1;hidden;1;OreBlock;false;false;distribution;0.0;false;true;;10;;true;false;false;10.0;false;true;false;;;0;true;false;;0;0;0
ore-coal;87;-1;hidden;1;OreBlock;false;false;distribution;0.0;false;true;;10;;true;false;false;10.0;false;true;false;;;0;true;false;;0;0;0
ore-titanium;88;-1;hidden;1;OreBlock;false;false;distribution;0.0;false;true;;10;;true;false;false;10.0;false;true;false;;;0;true;false;;0;0;0
ore-thorium;89;-1;hidden;1;OreBlock;false;false;distribution;0.0;false;true;;10;;true;false;false;10.0;false;true;false;;;0;true;false;;0;0;0
graphite-press;90;-1;shown;2;GenericCrafter;false;false;crafting;0.0;true;true;;10;;true;false;false;10.0;false;true;false;;;0;true;false;;0;0;0
multi-press;91;-1;shown;3;GenericCrafter;false;false;crafting;0.0;true;true;;10;;true;true;false;10.0;true;true;false;;;0;true;false;;0;0;0
silicon-smelter;92;-1;shown;2;GenericSmelter;false;false;crafting;0.0;true;true;;10;;true;false;false;10.0;true;true;false;;;0;true;false;;0;0;0
silicon-crucible;93;-1;shown;3;AttributeSmelter;false;false;crafting;0.0;true;true;;30;;true;false;false;10.0;true;true;false;;;0;true;false;;0;0;0
kiln;94;-1;shown;2;GenericSmelter;false;false;crafting;0.0;true;true;;10;;true;false;false;10.0;true;true;false;;;0;true;false;;0;0;0
plastanium-compressor;95;-1;shown;2;GenericCrafter;false;false;crafting;0.0;true;true;;10;;true;true;false;60.0;true;true;false;;;0;true;false;;0;0;0
phase-weaver;96;-1;shown;2;GenericCrafter;false;false;crafting;0.0;true;true;;20;;true;false;false;10.0;true;true;false;;;0;true;false;;0;0;0
alloy-smelter;97;-1;shown;3;GenericSmelter;false;false;crafting;0.0;true;true;;20;;true;false;false;10.0;true;true;false;;;0;true;false;;0;0;0
cryofluid-mixer;98;-1;shown;2;LiquidConverter;false;false;crafting;0.0;true;true;;10;;true;true;true;10.0;true;true;false;;;0;true;false;;0;0;0
pyratite-mixer;99;-1;shown;2;GenericSmelter;false;false;crafting;0.0;true;true;;10;;true;false;false;10.0;true;true;false;;;0;true;false;;0;0;0
blast-mixer;100;-1;shown;2;GenericCrafter;false;false;crafting;0.0;true;true;;10;;true;false;false;10.0;true;true;false;;;0;true;false;;0;0;0
melter;101;-1;shown;1;GenericCrafter;false;false;crafting;0.0;true;true;;10;;true;true;true;10.0;true;true;false;;;0;true;false;;0;0;0
separator;102;-1;shown;2;Separator;false;false;crafting;0.0;true;false;;10;;true;true;false;10.0;true;true;false;;;0;true;false;;0;0;0
disassembler;103;-1;shown;3;Separator;false;false;crafting;0.0;true;true;;20;;true;true;false;10.0;true;true;false;;;0;true;false;;0;0;0
spore-press;104;-1;shown;2;GenericCrafter;false;false;crafting;0.0;true;true;;10;;true;true;true;60.0;true;true;false;;;0;true;false;;0;0;0
pulverizer;105;-1;shown;1;GenericCrafter;false;false;crafting;0.0;true;true;;10;;true;false;false;10.0;true;true;false;;;0;true;false;;0;0;0
coal-centrifuge;106;-1;shown;2;GenericCrafter;false;false;crafting;0.0;true;false;;10;;true;true;false;10.0;true;true;false;;;0;true;false;;0;0;0
incinerator;107;-1;shown;1;Incinerator;false;false;crafting;0.0;false;false;;10;;true;true;false;10.0;true;true;false;;;0;true;false;;0;0;0
copper-wall;108;-1;shown;1;Wall;false;false;defense;0.0;false;false;;10;;true;false;false;10.0;false;true;false;;;0;true;false;;0;0;0
copper-wall-large;109;-1;shown;2;Wall;false;false;defense;0.0;false;false;;10;;true;false;false;10.0;false;true;false;;;0;true;false;;0;0;0
titanium-wall;110;-1;shown;1;Wall;false;false;defense;0.0;false;false;;10;;true;false;false;10.0;false;true;false;;;0;true;false;;0;0;0
titanium-wall-large;111;-1;shown;2;Wall;false;false;defense;0.0;false;false;;10;;true;false;false;10.0;false;true;false;;;0;true;false;;0;0;0
plastanium-wall;112;-1;shown;1;Wall;false;false;defense;0.0;false;false;;10;;true;false;false;10.0;false;true;false;;;0;true;false;;0;0;0
plastanium-wall-large;113;-1;shown;2;Wall;false;false;defense;0.0;false;false;;10;;true;false;false;10.0;false;true;false;;;0;true;false;;0;0;0
thorium-wall;114;-1;shown;1;Wall;false;false;defense;0.0;false;false;;10;;true;false;false;10.0;false;true;false;;;0;true;false;;0;0;0
thorium-wall-large;115;-1;shown;2;Wall;false;false;defense;0.0;false;false;;10;;true;false;false;10.0;false;true;false;;;0;true;false;;0;0;0
phase-wall;116;-1;shown;1;Wall;false;false;defense;0.0;false;false;;10;;true;false;false;10.0;false;true;false;;;0;true;false;;0;0;0
phase-wall-large;117;-1;shown;2;Wall;false;false;defense;0.0;false;false;;10;;true;false;false;10.0;false;true;false;;;0;true;false;;0;0;0
surge-wall;118;-1;shown;1;Wall;false;false;defense;0.0;false;false;;10;;true;false;false;10.0;false;true;false;;;0;true;false;;0;0;0
surge-wall-large;119;-1;shown;2;Wall;false;false;defense;0.0;false;false;;10;;true;false;false;10.0;false;true;false;;;0;true;false;;0;0;0
door;120;-1;shown;1;Door;false;false;defense;0.0;false;false;;10;;true;false;false;10.0;false;true;false;;;0;true;false;;0;0;0
door-large;121;-1;shown;2;Door;false;false;defense;0.0;false;false;;10;;true;false;false;10.0;false;true;false;;;0;true;false;;0;0;0
scrap-wall;122;-1;sandboxOnly;1;Wall;false;false;defense;0.0;false;false;;10;;true;false;false;10.0;false;true;false;;;0;true;false;;0;0;0
scrap-wall-large;123;-1;sandboxOnly;2;Wall;false;false;defense;0.0;false;false;;10;;true;false;false;10.0;false;true;false;;;0;true;false;;0;0;0
scrap-wall-huge;124;-1;sandboxOnly;3;Wall;false;false;defense;0.0;false;false;;10;;true;false;false;10.0;false;true;false;;;0;true;false;;0;0;0
scrap-wall-gigantic;125;-1;sandboxOnly;4;Wall;false;false;defense;0.0;false;false;;10;;true;false;false;10.0;false;true;false;;;0;true;false;;0;0;0
thruster;126;-1;hidden;4;Thruster;false;false;distribution;0.0;false;true;;10;;true;false;false;10.0;false;true;false;;;0;true;true;;0;0;0
mender;127;-1;shown;1;MendProjector;false;false;effect;0.0;true;true;;10;;true;false;false;10.0;true;true;false;;;0;true;false;;0;0;0
mend-projector;128;-1;shown;2;MendProjector;false;false;effect;0.0;true;true;;10;;true;false;false;10.0;true;true;false;;;0;true;false;;0;0;0
overdrive-projector;129;-1;shown;2;OverdriveProjector;false;false;effect;0.0;true;true;;10;;true;false;false;10.0;true;true;false;;;0;true;false;;0;0;0
overdrive-dome;130;-1;shown;3;OverdriveProjector;false;false;effect;0.0;true;true;;10;;true;false;false;10.0;true;true;false;;;0;true;false;;0;0;0
force-projector;131;-1;shown;3;ForceProjector;false;false;effect;0.0;true;true;;10;;true;true;false;10.0;true;true;false;;;0;true;false;;0;0;0
shock-mine;132;-1;shown;1;ShockMine;false;false;effect;0.0;false;false;;10;;true;false;false;10.0;false;true;false;;;0;true;false;;0;0;0
conveyor;133;-1;shown;1;Conveyor;false;false;distribution;0.0;true;true;;4;;false;false;false;10.0;false;true;false;;;0;true;true;;0;0;0
titanium-conveyor;134;-1;shown;1;Conveyor;false;false;distribution;0.0;true;true;;4;;false;false;false;10.0;false;true;false;;;0;true;true;;0;0;0
plastanium-conveyor;135;-1;shown;1;StackConveyor;false;false;distribution;0.0;true;true;;10;;true;false;false;10.0;false;true;false;;;0;true;true;;0;0;0
armored-conveyor;136;-1;shown;1;ArmoredConveyor;false;false;distribution;0.0;true;true;;4;;false;false;false;10.0;false;true;false;;;0;true;true;;0;0;0
junction;137;-1;shown;1;Junction;false;false;distribution;0.0;false;true;;10;;false;false;false;10.0;false;true;false;;;0;true;false;;0;0;0
bridge-conveyor;138;-1;shown;1;BufferedItemBridge;false;true;distribution;4.0;true;true;;10;;false;false;false;10.0;false;true;false;;;0;true;false;;0;0;0
phase-conveyor;139;-1;shown;1;ItemBridge;false;true;distribution;12.0;true;true;;10;;false;false;false;10.0;true;true;false;;;0;true;false;;0;0;0
sorter;140;-1;shown;1;Sorter;false;true;distribution;0.0;false;true;;10;;false;false;false;10.0;false;true;false;;;0;true;false;;0;0;0
inverted-sorter;141;-1;shown;1;Sorter;false;true;distribution;0.0;false;true;;10;;false;false;false;10.0;false;true;false;;;0;true;false;;0;0;0
router;142;-1;shown;1;Router;false;false;distribution;0.0;true;true;;1;;false;false;false;10.0;false;true;false;;;0;true;false;;0;0;0
distributor;143;-1;shown;2;Router;false;false;distribution;0.0;true;true;;1;;false;false;false;10.0;false;true;false;;;0;true;false;;0;0;0
overflow-gate;144;-1;shown;1;OverflowGate;false;false;distribution;0.0;true;true;;0;;false;false;false;10.0;false;true;false;;;0;true;false;;0;0;0
underflow-gate;145;-1;shown;1;OverflowGate;false;false;distribution;0.0;true;true;;0;;false;false;false;10.0;false;true;false;;;0;true;false;;0;0;0
mass-driver;146;-1;shown;3;MassDriver;false;true;distribution;55.0;true;true;;120;;true;false;false;10.0;true;true;false;;;0;true;false;;0;0;0
payload-conveyor;147;-1;shown;3;PayloadConveyor;false;false;distribution;0.0;false;true;;10;;true;false;false;10.0;false;true;false;;;0;true;true;;0;0;0
payload-router;148;-1;shown;3;PayloadRouter;false;false;distribution;0.0;false;true;;10;;true;false;false;10.0;false;true;false;;;0;false;true;;0;0;0
mechanical-pump;149;-1;shown;1;Pump;false;false;liquid;0.0;false;false;;10;;true;true;true;10.0;false;true;false;;;0;true;false;;0;0;0
rotary-pump;150;-1;shown;2;Pump;false;false;liquid;0.0;false;false;;10;;true;true;true;30.0;true;true;false;;;0;true;false;;0;0;0
thermal-pump;151;-1;shown;3;Pump;false;false;liquid;0.0;false;false;;10;;true;true;true;40.0;true;true;false;;;0;true;false;;0;0;0
conduit;152;-1;shown;1;Conduit;false;false;liquid;0.0;false;false;;10;;true;true;true;10.0;false;true;false;;;0;true;true;;0;0;0
pulse-conduit;153;-1;shown;1;Conduit;false;false;liquid;0.0;false;false;;10;;true;true;true;16.0;false;true;false;;;0;true;true;;0;0;0
plated-conduit;154;-1;shown;1;ArmoredConduit;false;false;liquid;0.0;false;false;;10;;true;true;true;16.0;false;true;false;;;0;true;true;;0;0;0
liquid-router;155;-1;shown;1;LiquidRouter;false;false;liquid;0.0;false;false;;10;;true;true;true;20.0;false;true;false;;;0;true;false;;0;0;0
liquid-tank;156;-1;shown;3;LiquidRouter;false;false;liquid;0.0;false;false;;10;;true;true;true;1500.0;false;true;false;;;0;true;false;;0;0;0
liquid-junction;157;-1;shown;1;LiquidJunction;false;false;liquid;0.0;false;false;;10;;true;true;true;10.0;false;true;false;;;0;true;false;;0;0;0
bridge-conduit;158;-1;shown;1;LiquidExtendingBridge;false;true;liquid;4.0;false;false;;10;;false;true;true;10.0;false;true;false;;;0;true;false;;0;0;0
phase-conduit;159;-1;shown;1;LiquidBridge;false;true;liquid;12.0;false;false;;10;;false;true;true;10.0;true;true;false;;;0;true;false;;0;0;0
power-node;160;-1;shown;1;PowerNode;false;true;power;6.0;false;false;;10;;true;false;false;10.0;true;false;false;;;10;true;false;;0;0;0
power-node-large;161;-1;shown;2;PowerNode;false;true;power;9.5;false;false;;10;;true;false;false;10.0;true;false;false;;;15;true;false;;0;0;0
surge-tower;162;-1;shown;2;PowerNode;false;true;power;40.0;false;false;;10;;true;false;false;10.0;true;false;false;;;2;true;false;;0;0;0
diode;163;-1;shown;1;PowerDiode;false;false;power;0.0;false;false;;10;;true;false;false;10.0;false;true;false;;;0;true;true;;0;0;0
battery;164;-1;shown;1;Battery;false;false;power;0.0;false;false;;10;;true;false;false;10.0;true;true;true;;;0;true;false;;0;0;0
battery-large;165;-1;shown;3;Battery;false;false;power;0.0;false;false;;10;;true;false;false;10.0;true;true;true;;;0;true;false;;0;0;0
combustion-generator;166;-1;shown;1;BurnerGenerator;false;false;power;0.0;true;true;;10;;true;false;false;10.0;true;false;true;;;0;true;false;;0;0;0
thermal-generator;167;-1;shown;2;ThermalGenerator;false;false;power;0.0;false;false;;10;;true;false;false;10.0;true;false;true;;;0;true;false;;0;0;0
steam-generator;168;-1;shown;2;BurnerGenerator;false;false;power;0.0;true;true;;10;;true;true;false;10.0;true;false;true;;;0;true;false;;0;0;0
differential-generator;169;-1;shown;3;SingleTypeGenerator;false;false;power;0.0;true;true;;10;;true;true;false;10.0;true;false;true;;;0;true;false;;0;0;0
rtg-generator;170;-1;shown;2;DecayGenerator;false;false;power;0.0;true;true;;10;;true;false;false;10.0;true;false;true;;;0;true;false;;0;0;0
solar-panel;171;-1;shown;1;SolarGenerator;false;false;power;0.0;false;false;;10;;true;false;false;10.0;true;false;true;;;0;true;false;;0;0;0
solar-panel-large;172;-1;shown;3;SolarGenerator;false;false;power;0.0;false;false;;10;;true;false;false;10.0;true;false;true;;;0;true;false;;0;0;0
thorium-reactor;173;-1;shown;3;NuclearReactor;false;false;power;0.0;true;true;;30;;true;true;false;30.0;true;false;true;;;0;true;false;;0;0;0
impact-reactor;174;-1;shown;4;ImpactReactor;false;false;power;0.0;true;true;;10;;true;true;false;30.0;true;true;true;;;0;true;false;;0;0;0
mechanical-drill;175;-1;shown;2;Drill;false;false;production;0.0;true;false;;10;;true;true;false;5.0;false;true;false;;;0;true;false;;0;0;0
pneumatic-drill;176;-1;shown;2;Drill;false;false;production;0.0;true;false;;10;;true;true;false;5.0;false;true;false;;;0;true;false;;0;0;0
laser-drill;177;-1;shown;3;Drill;false;false;production;0.0;true;false;;10;;true;true;false;5.0;true;true;false;;;0;true;false;;0;0;0
blast-drill;178;-1;shown;4;Drill;false;false;production;0.0;true;false;;10;;true;true;false;5.0;true;true;false;;;0;true;false;;0;0;0
water-extractor;179;-1;shown;2;SolidPump;false;false;production;0.0;false;false;;10;;true;true;true;30.0;true;true;false;;;0;true;false;;0;0;0
cultivator;180;-1;shown;2;Cultivator;false;false;production;0.0;true;false;;10;;true;true;false;10.0;true;true;false;;;0;true;false;;0;0;0
oil-extractor;181;-1;shown;3;Fracker;false;false;production;0.0;true;true;;10;;true;true;true;30.0;true;true;false;;;0;true;false;;0;0;0
core-shard;182;-1;editorOnly;3;CoreBlock;false;false;effect;0.0;true;true;;4000;;true;false;false;10.0;false;true;false;;;0;true;false;;0;0;0
core-foundation;183;-1;shown;4;CoreBlock;false;false;effect;0.0;true;true;;9000;;true;false;false;10.0;false;true;false;;;0;true;false;;0;0;0
core-nucleus;184;-1;shown;5;CoreBlock;false;false;effect;0.0;true;true;;13000;;true;false;false;10.0;false;true;false;;;0;true;false;;0;0;0
vault;185;-1;shown;3;StorageBlock;false;false;effect;0.0;true;true;;1000;;true;false;false;10.0;false;true;false;;;0;true;false;;0;0;0
