// DO NOT EDIT! Generated by mimex - Mindustry Metadata Extractor
name;id;logicId;color;emoji;hasPalette;palette0;palette1;palette2
team#126;126;126;d43882ff;;false;d43882ff;9f2a62ff;6a1c41ff
team#127;127;127;9821d2ff;;false;9821d2ff;72199dff;4c1069ff
team#128;128;128;d52d33ff;;false;d52d33ff;a02226ff;6a1619ff
team#129;129;129;ce499cff;;false;ce499cff;9a3675ff;67244eff
team#130;130;130;e7f520ff;;false;e7f520ff;adb818ff;737a10ff
team#131;131;131;b54ff9ff;;false;b54ff9ff;883bbbff;5a277cff
team#132;132;132;3f5dd9ff;;false;3f5dd9ff;2f45a3ff;1f2e6cff
team#133;133;133;e41863ff;;false;e41863ff;ab124aff;720c31ff
team#134;134;134;aa3ce4ff;;false;aa3ce4ff;7f2dabff;551e72ff
team#135;135;135;40e072ff;;false;40e072ff;30a856ff;207039ff
team#136;136;136;41ccf3ff;;false;41ccf3ff;3199b6ff;206679ff
team#137;137;137;3dec3dff;;false;3dec3dff;2db12eff;1e761eff
team#138;138;138;dc654fff;;false;dc654fff;a54c3bff;6e3227ff
team#139;139;139;e03eb6ff;;false;e03eb6ff;a82e89ff;701f5bff
team#140;140;140;05e029ff;;false;05e029ff;03a81eff;027014ff
team#141;141;141;5007f0ff;;false;5007f0ff;3c05b4ff;280378ff
team#142;142;142;f1b214ff;;false;f1b214ff;b5850fff;78590aff
team#143;143;143;01a9d1ff;;false;01a9d1ff;017f9dff;005468ff
team#144;144;144;2493ccff;;false;2493ccff;1b6e99ff;124966ff
team#145;145;145;a7f71bff;;false;a7f71bff;7db914ff;537b0dff
team#146;146;146;fec433ff;;false;fec433ff;be9326ff;7f6219ff
team#147;147;147;994cd2ff;;false;994cd2ff;72399eff;4c2669ff
team#148;148;148;cfb226ff;;false;cfb226ff;9b851cff;675913ff
team#149;149;149;fe9716ff;;false;fe9716ff;be7110ff;7f4b0bff
team#150;150;150;425bcfff;;false;425bcfff;32449bff;212d67ff
team#151;151;151;d35145ff;;false;d35145ff;9e3c34ff;692822ff
team#152;152;152;49c0d8ff;;false;49c0d8ff;3690a2ff;24606cff
team#153;153;153;a924e9ff;;false;a924e9ff;7e1bafff;541274ff
team#154;154;154;1900edff;;false;1900edff;1200b1ff;0c0076ff
team#155;155;155;eb1d36ff;;false;eb1d36ff;b01528ff;750e1bff
team#156;156;156;fa6f05ff;;false;fa6f05ff;bb5303ff;7d3702ff
team#157;157;157;d44593ff;;false;d44593ff;9f346eff;6a2249ff
team#158;158;158;f4bd04ff;;false;f4bd04ff;b78d03ff;7a5e02ff
team#159;159;159;3802d4ff;;false;3802d4ff;2a019fff;1c016aff
team#160;160;160;db42caff;;false;db42caff;a43197ff;6d2165ff
team#161;161;161;01fdf4ff;;false;01fdf4ff;01beb7ff;007e7aff
team#162;162;162;2fdfeeff;;false;2fdfeeff;23a7b2ff;176f77ff
team#163;163;163;f36808ff;;false;f36808ff;b64e06ff;793404ff
team#164;164;164;edcf0eff;;false;edcf0eff;b29b0aff;766707ff
team#165;165;165;1dadfaff;;false;1dadfaff;1582bcff;0e567dff
team#166;166;166;4af7abff;;false;4af7abff;38b980ff;257b55ff
team#167;167;167;15c6d9ff;;false;15c6d9ff;0f94a3ff;0a636cff
team#168;168;168;d33e47ff;;false;d33e47ff;9e2e35ff;691f23ff
team#169;169;169;75ef18ff;;false;75ef18ff;58b312ff;3a770cff
team#170;170;170;75ce4fff;;false;75ce4fff;589a3bff;3a6727ff
team#171;171;171;f30e3fff;;false;f30e3fff;b60a2fff;79071fff
team#172;172;172;122cefff;;false;122cefff;0d21b3ff;091677ff
team#173;173;173;e69155ff;;false;e69155ff;ad6d40ff;73482aff
team#174;174;174;55d83fff;;false;55d83fff;40a22fff;2a6c1fff
team#175;175;175;ce1534ff;;false;ce1534ff;9b1027ff;670a1aff
team#176;176;176;3fd178ff;;false;3fd178ff;2f9d5aff;1f683cff
team#177;177;177;f827ecff;;false;f827ecff;ba1db1ff;7c1376ff
team#178;178;178;090ce6ff;;false;090ce6ff;0709adff;040673ff
team#179;179;179;184ee6ff;;false;184ee6ff;123aacff;0c2773ff
team#180;180;180;e51229ff;;false;e51229ff;ac0e1eff;720914ff
team#181;181;181;51fdabff;;false;51fdabff;3dbe80ff;287e55ff
team#182;182;182;0bedafff;;false;0bedafff;08b283ff;057657ff
team#183;183;183;14d896ff;;false;14d896ff;0fa271ff;0a6c4bff
team#184;184;184;e06701ff;;false;e06701ff;a84d00ff;703300ff
team#185;185;185;f00677ff;;false;f00677ff;b40459ff;78033bff
team#186;186;186;a800f5ff;;false;a800f5ff;7e00b7ff;54007aff
team#187;187;187;2473ceff;;false;2473ceff;1b569aff;123967ff
team#188;188;188;ccec12ff;;false;ccec12ff;99b10dff;667609ff
team#189;189;189;30d4c3ff;;false;30d4c3ff;249f92ff;186a61ff
team#190;190;190;5096e1ff;;false;5096e1ff;3c71a9ff;284b70ff
team#191;191;191;377ef0ff;;false;377ef0ff;295eb4ff;1b3f78ff
team#192;192;192;23dddaff;;false;23dddaff;1aa6a3ff;116e6dff
team#193;193;193;af41f6ff;;false;af41f6ff;8331b8ff;57207bff
team#194;194;194;72d807ff;;false;72d807ff;55a205ff;396c03ff
team#195;195;195;13db64ff;;false;13db64ff;0ea44bff;096d32ff
team#196;196;196;4b7fd2ff;;false;4b7fd2ff;385f9dff;253f69ff
team#197;197;197;2cf07eff;;false;2cf07eff;21b45fff;16783fff
team#198;198;198;2cd73aff;;false;2cd73aff;21a12bff;166b1dff
team#199;199;199;bed51aff;;false;bed51aff;8ea013ff;5f6a0dff
team#200;200;200;1e8fd2ff;;false;1e8fd2ff;166b9eff;0f4769ff
team#201;201;201;96db25ff;;false;96db25ff;70a41cff;4b6d12ff
team#202;202;202;40cfbfff;;false;40cfbfff;309b8fff;20675fff
team#203;203;203;f13545ff;;false;f13545ff;b52834ff;781a22ff
team#204;204;204;d405c8ff;;false;d405c8ff;9f0396ff;6a0264ff
team#205;205;205;bade3aff;;false;bade3aff;8ba72cff;5d6f1dff
team#206;206;206;42e67aff;;false;42e67aff;32ac5bff;21733dff
team#207;207;207;bc0af7ff;;false;bc0af7ff;8d07b9ff;5e057bff
team#208;208;208;46f08aff;;false;46f08aff;35b468ff;237845ff
team#209;209;209;60ea25ff;;false;60ea25ff;48b01bff;307512ff
team#210;210;210;a1e257ff;;false;a1e257ff;79a941ff;50712bff
team#211;211;211;ef50f9ff;;false;ef50f9ff;b33cbbff;77287cff
team#212;212;212;e69536ff;;false;e69536ff;ad7029ff;734a1bff
team#213;213;213;f9da09ff;;false;f9da09ff;bba407ff;7c6d04ff
team#214;214;214;76de45ff;;false;76de45ff;58a633ff;3b6f22ff
team#215;215;215;1df1f6ff;;false;1df1f6ff;16b5b8ff;0e787bff
team#216;216;216;7adb54ff;;false;7adb54ff;5ba43fff;3d6d2aff
team#217;217;217;3ee1c4ff;;false;3ee1c4ff;2fa993ff;1f7062ff
team#218;218;218;14d8fcff;;false;14d8fcff;0fa2bdff;0a6c7eff
team#219;219;219;6c4df8ff;;false;6c4df8ff;5139baff;36267cff
team#220;220;220;fca45cff;;false;fca45cff;bd7b45ff;7e522eff
team#221;221;221;7fef5fff;;false;7fef5fff;5fb347ff;3f772fff
team#222;222;222;5d39f5ff;;false;5d39f5ff;452bb8ff;2e1c7aff
team#223;223;223;3e19d4ff;;false;3e19d4ff;2f139fff;1f0c6aff
team#224;224;224;0e1af1ff;;false;0e1af1ff;0b14b5ff;070d78ff
team#225;225;225;98f911ff;;false;98f911ff;72ba0dff;4c7c08ff
team#226;226;226;61a2fcff;;false;61a2fcff;4979bdff;30517eff
team#227;227;227;7800d3ff;;false;7800d3ff;5a009eff;3c0069ff
team#228;228;228;b9ee00ff;;false;b9ee00ff;8ab200ff;5c7700ff
team#229;229;229;ef6725ff;;false;ef6725ff;b34d1bff;773312ff
team#230;230;230;eb42aeff;;false;eb42aeff;b03183ff;752157ff
team#231;231;231;35cff8ff;;false;35cff8ff;289bbaff;1a677cff
team#232;232;232;760ef9ff;;false;760ef9ff;580bbbff;3b077cff
team#233;233;233;bdf700ff;;false;bdf700ff;8eb900ff;5e7b00ff
team#234;234;234;9fd207ff;;false;9fd207ff;779d05ff;4f6903ff
team#235;235;235;e99607ff;;false;e99607ff;af7005ff;744b03ff
team#236;236;236;d548aaff;;false;d548aaff;9f367fff;6a2455ff
team#237;237;237;f54eefff;;false;f54eefff;b83ab3ff;7a2777ff
team#238;238;238;f51d65ff;;false;f51d65ff;b8164cff;7a0e32ff
team#239;239;239;2bcee1ff;;false;2bcee1ff;209ba9ff;156770ff
team#240;240;240;e41d41ff;;false;e41d41ff;ab1631ff;720e20ff
team#241;241;241;44dab8ff;;false;44dab8ff;33a48aff;226d5cff
team#242;242;242;f48161ff;;false;f48161ff;b76149ff;7a4030ff
team#243;243;243;1ee040ff;;false;1ee040ff;17a830ff;0f7020ff
team#244;244;244;3812edff;;false;3812edff;2a0db1ff;1c0976ff
team#245;245;245;d01da8ff;;false;d01da8ff;9c167eff;680e54ff
team#246;246;246;fb28abff;;false;fb28abff;bc1e80ff;7d1455ff
team#247;247;247;d23387ff;;false;d23387ff;9e2665ff;691943ff
team#248;248;248;f30173ff;;false;f30173ff;b60156ff;790039ff
team#249;249;249;cde529ff;;false;cde529ff;9aac1fff;667214ff
team#250;250;250;d0dd0bff;;false;d0dd0bff;9ca608ff;686e05ff
team#251;251;251;87fc47ff;;false;87fc47ff;65bd35ff;437e23ff
team#252;252;252;fe46c6ff;;false;fe46c6ff;be3494ff;7f2363ff
team#253;253;253;3afb5bff;;false;3afb5bff;2bbc44ff;1d7d2dff
team#254;254;254;d7992aff;;false;d7992aff;a17320ff;6b4c15ff
team#255;255;255;10e944ff;;false;10e944ff;0caf33ff;087422ff
