// DO NOT EDIT! Generated by mimex - Mindustry Metadata Extractor
name;id;logicId;copper;lead;metaglass;graphite;sand;coal;titanium;thorium;scrap;silicon;plastanium;phase-fabric;surge-alloy;spore-pod;blast-compound;pyratite
shale-wall;55;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
spore-pine;56;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
snow-pine;57;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
pine;58;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
white-tree-dead;59;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
white-tree;60;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
spore-cluster;61;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
boulder;62;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
snow-boulder;63;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
shale-boulder;64;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
sand-boulder;65;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
dacite-boulder;66;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
basalt-boulder;67;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
moss;68;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
spore-moss;69;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
metal-floor;70;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
metal-floor-damaged;71;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
metal-floor-2;72;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
metal-floor-3;73;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
metal-floor-5;74;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
dark-panel-1;75;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
dark-panel-2;76;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
dark-panel-3;77;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
dark-panel-4;78;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
dark-panel-5;79;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
dark-panel-6;80;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
dark-metal;81;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
pebbles;82;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
tendrils;83;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ore-copper;84;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ore-lead;85;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ore-scrap;86;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ore-coal;87;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ore-titanium;88;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ore-thorium;89;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
graphite-press;90;-1;75;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0
multi-press;91;-1;0;100;0;50;0;0;100;0;0;25;0;0;0;0;0;0
silicon-smelter;92;-1;30;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0
silicon-crucible;93;-1;0;0;80;0;0;0;120;0;0;60;35;0;0;0;0;0
kiln;94;-1;60;30;0;30;0;0;0;0;0;0;0;0;0;0;0;0
plastanium-compressor;95;-1;0;115;0;60;0;0;80;0;0;80;0;0;0;0;0;0
phase-weaver;96;-1;0;120;0;0;0;0;0;75;0;130;0;0;0;0;0;0
alloy-smelter;97;-1;0;80;0;0;0;0;0;70;0;80;0;0;0;0;0;0
cryofluid-mixer;98;-1;0;65;0;0;0;0;60;0;0;40;0;0;0;0;0;0
pyratite-mixer;99;-1;50;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0
blast-mixer;100;-1;0;30;0;0;0;0;20;0;0;0;0;0;0;0;0;0
melter;101;-1;30;35;0;45;0;0;0;0;0;0;0;0;0;0;0;0
separator;102;-1;30;0;0;0;0;0;25;0;0;0;0;0;0;0;0;0
disassembler;103;-1;0;0;0;140;0;0;100;0;0;150;0;0;70;0;0;0
spore-press;104;-1;0;35;0;0;0;0;0;0;0;30;0;0;0;0;0;0
pulverizer;105;-1;30;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0
coal-centrifuge;106;-1;0;30;0;40;0;0;20;0;0;0;0;0;0;0;0;0
incinerator;107;-1;0;15;0;5;0;0;0;0;0;0;0;0;0;0;0;0
copper-wall;108;-1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
copper-wall-large;109;-1;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
titanium-wall;110;-1;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0
titanium-wall-large;111;-1;0;0;0;0;0;0;24;0;0;0;0;0;0;0;0;0
plastanium-wall;112;-1;0;0;2;0;0;0;0;0;0;0;5;0;0;0;0;0
plastanium-wall-large;113;-1;0;0;8;0;0;0;0;0;0;0;20;0;0;0;0;0
thorium-wall;114;-1;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0
thorium-wall-large;115;-1;0;0;0;0;0;0;0;24;0;0;0;0;0;0;0;0
phase-wall;116;-1;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0
phase-wall-large;117;-1;0;0;0;0;0;0;0;0;0;0;0;24;0;0;0;0
surge-wall;118;-1;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0
surge-wall-large;119;-1;0;0;0;0;0;0;0;0;0;0;0;0;24;0;0;0
door;120;-1;0;0;0;0;0;0;6;0;0;4;0;0;0;0;0;0
door-large;121;-1;0;0;0;0;0;0;24;0;0;16;0;0;0;0;0;0
scrap-wall;122;-1;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0
scrap-wall-large;123;-1;0;0;0;0;0;0;0;0;24;0;0;0;0;0;0;0
scrap-wall-huge;124;-1;0;0;0;0;0;0;0;0;54;0;0;0;0;0;0;0
scrap-wall-gigantic;125;-1;0;0;0;0;0;0;0;0;96;0;0;0;0;0;0;0
thruster;126;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
mender;127;-1;25;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0
mend-projector;128;-1;0;100;0;0;0;0;25;0;0;40;0;0;0;0;0;0
overdrive-projector;129;-1;0;100;0;0;0;0;75;0;0;75;30;0;0;0;0;0
overdrive-dome;130;-1;0;200;0;0;0;0;130;0;0;130;80;0;120;0;0;0
force-projector;131;-1;0;100;0;0;0;0;75;0;0;125;0;0;0;0;0;0
shock-mine;132;-1;0;25;0;0;0;0;0;0;0;12;0;0;0;0;0;0
conveyor;133;-1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
titanium-conveyor;134;-1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
plastanium-conveyor;135;-1;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0
armored-conveyor;136;-1;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0
junction;137;-1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
bridge-conveyor;138;-1;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0
phase-conveyor;139;-1;0;10;0;10;0;0;0;0;0;7;0;5;0;0;0;0
sorter;140;-1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
inverted-sorter;141;-1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
router;142;-1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
distributor;143;-1;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
overflow-gate;144;-1;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
underflow-gate;145;-1;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
mass-driver;146;-1;0;125;0;0;0;0;125;50;0;75;0;0;0;0;0;0
payload-conveyor;147;-1;20;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0
payload-router;148;-1;20;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0
mechanical-pump;149;-1;15;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0
rotary-pump;150;-1;70;0;50;0;0;0;35;0;0;20;0;0;0;0;0;0
thermal-pump;151;-1;80;0;90;0;0;0;40;35;0;30;0;0;0;0;0;0
conduit;152;-1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
pulse-conduit;153;-1;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0
plated-conduit;154;-1;0;0;1;0;0;0;0;2;0;0;1;0;0;0;0;0
liquid-router;155;-1;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0
liquid-tank;156;-1;0;0;25;0;0;0;25;0;0;0;0;0;0;0;0;0
liquid-junction;157;-1;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0
bridge-conduit;158;-1;0;0;8;4;0;0;0;0;0;0;0;0;0;0;0;0
phase-conduit;159;-1;0;0;20;0;0;0;10;0;0;7;0;5;0;0;0;0
power-node;160;-1;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
power-node-large;161;-1;0;10;0;0;0;0;5;0;0;3;0;0;0;0;0;0
surge-tower;162;-1;0;10;0;0;0;0;7;0;0;15;0;0;15;0;0;0
diode;163;-1;0;0;10;0;0;0;0;0;0;10;5;0;0;0;0;0
battery;164;-1;5;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0
battery-large;165;-1;0;40;0;0;0;0;20;0;0;20;0;0;0;0;0;0
combustion-generator;166;-1;25;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0
thermal-generator;167;-1;40;50;40;35;0;0;0;0;0;35;0;0;0;0;0;0
steam-generator;168;-1;35;40;0;25;0;0;0;0;0;30;0;0;0;0;0;0
differential-generator;169;-1;70;100;50;0;0;0;50;0;0;65;0;0;0;0;0;0
rtg-generator;170;-1;0;100;0;0;0;0;0;50;0;75;75;25;0;0;0;0
solar-panel;171;-1;0;10;0;0;0;0;0;0;0;15;0;0;0;0;0;0
solar-panel-large;172;-1;0;80;0;0;0;0;0;0;0;110;0;15;0;0;0;0
thorium-reactor;173;-1;0;300;50;150;0;0;0;150;0;200;0;0;0;0;0;0
impact-reactor;174;-1;0;500;250;400;0;0;0;100;0;300;0;0;250;0;0;0
mechanical-drill;175;-1;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
pneumatic-drill;176;-1;18;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0
laser-drill;177;-1;35;0;0;30;0;0;20;0;0;30;0;0;0;0;0;0
blast-drill;178;-1;65;0;0;0;0;0;50;75;0;60;0;0;0;0;0;0
water-extractor;179;-1;0;30;30;30;0;0;0;0;0;0;0;0;0;0;0;0
cultivator;180;-1;25;25;0;0;0;0;0;0;0;10;0;0;0;0;0;0
oil-extractor;181;-1;150;115;0;175;0;0;0;115;0;75;0;0;0;0;0;0
core-shard;182;-1;1000;800;0;0;0;0;0;0;0;0;0;0;0;0;0;0
core-foundation;183;-1;3000;3000;0;0;0;0;0;0;0;2000;0;0;0;0;0;0
core-nucleus;184;-1;8000;8000;0;0;0;0;0;4000;0;5000;0;0;0;0;0;0
vault;185;-1;0;0;0;0;0;0;250;125;0;0;0;0;0;0;0;0
container;186;-1;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0
unloader;187;-1;0;0;0;0;0;0;25;0;0;30;0;0;0;0;0;0
duo;188;-1;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
scatter;189;-1;85;45;0;0;0;0;0;0;0;0;0;0;0;0;0;0
scorch;190;-1;25;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0
hail;191;-1;40;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0
wave;192;-1;0;75;45;0;0;0;0;0;0;0;0;0;0;0;0;0
lancer;193;-1;60;70;0;0;0;0;0;0;0;50;0;0;0;0;0;0
arc;194;-1;50;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0
parallax;195;-1;0;0;0;30;0;0;90;0;0;120;0;0;0;0;0;0
swarmer;196;-1;0;0;0;35;0;0;35;0;0;30;45;0;0;0;0;0
salvo;197;-1;100;0;0;90;0;0;60;0;0;0;0;0;0;0;0;0
segment;198;-1;0;0;0;0;0;0;0;80;0;130;0;40;0;0;0;0
tsunami;199;-1;0;400;100;0;0;0;250;100;0;0;0;0;0;0;0;0
fuse;200;-1;225;0;0;225;0;0;0;100;0;0;0;0;0;0;0;0
ripple;201;-1;150;0;0;135;0;0;60;0;0;0;0;0;0;0;0;0
cyclone;202;-1;200;0;0;0;0;0;125;0;0;0;80;0;0;0;0;0
foreshadow;203;-1;1000;0;600;0;0;0;0;0;0;600;200;0;300;0;0;0
spectre;204;-1;900;0;0;300;0;0;0;250;0;0;175;0;250;0;0;0
meltdown;205;-1;1200;350;0;300;0;0;0;0;0;325;0;0;325;0;0;0
command-center;206;-1;200;250;0;100;0;0;0;0;0;250;0;0;0;0;0;0
ground-factory;207;-1;50;120;0;0;0;0;0;0;0;80;0;0;0;0;0;0
air-factory;208;-1;60;70;0;0;0;0;0;0;0;0;0;0;0;0;0;0
naval-factory;209;-1;150;130;120;0;0;0;0;0;0;0;0;0;0;0;0;0
additive-reconstructor;210;-1;200;120;0;0;0;0;0;0;0;90;0;0;0;0;0;0
multiplicative-reconstructor;211;-1;0;650;0;0;0;0;350;650;0;450;0;0;0;0;0;0
exponential-reconstructor;212;-1;0;2000;0;0;0;0;2000;750;0;1000;450;600;0;0;0;0
tetrative-reconstructor;213;-1;0;4000;0;0;0;0;0;1000;0;3000;600;600;800;0;0;0
repair-point;214;-1;15;15;0;0;0;0;0;0;0;15;0;0;0;0;0;0
resupply-point;215;-1;15;20;0;0;0;0;0;0;0;15;0;0;0;0;0;0
power-source;216;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
power-void;217;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
item-source;218;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
item-void;219;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
liquid-source;220;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
liquid-void;221;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
illuminator;222;-1;0;0;0;12;0;0;0;0;0;8;0;0;0;0;0;0
legacy-mech-pad;223;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
legacy-unit-factory;224;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
legacy-unit-factory-air;225;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
legacy-unit-factory-ground;226;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
launch-pad;227;-1;350;200;0;0;0;0;150;0;0;140;0;0;0;0;0;0
launch-pad-large;228;-1;0;250;0;0;0;0;200;0;0;150;75;0;0;0;0;0
interplanetary-accelerator;229;-1;16000;0;0;0;0;0;12000;13000;0;11000;0;5000;6000;0;0;0
message;230;-1;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0
switch;231;-1;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0
micro-processor;232;-1;80;50;0;0;0;0;0;0;0;30;0;0;0;0;0;0
logic-processor;233;-1;0;320;0;60;0;0;0;50;0;60;0;0;0;0;0;0
hyper-processor;234;-1;0;450;0;0;0;0;0;75;0;130;0;0;50;0;0;0
memory-cell;235;-1;0;0;0;30;0;0;0;0;0;30;0;0;0;0;0;0
memory-bank;236;-1;0;0;0;80;0;0;0;0;0;80;0;30;0;0;0;0
logic-display;237;-1;0;100;50;0;0;0;0;0;0;50;0;0;0;0;0;0
large-logic-display;238;-1;0;200;100;0;0;0;0;0;0;150;0;75;0;0;0;0
block-forge;239;-1;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0
block-loader;240;-1;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0
block-unloader;241;-1;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0
